Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
10	beautiful	1	1	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	62	12.927	[(None, 0.0), (62, 11.754), (62, 12.926)]	23.8311864672	23.8318648616	1180.61424605	40.3736475573	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	2	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	62	4.653	[(None, 0.0), (62, 3.356), (62, 4.653)]	15.5652009343	39.4026901085	1196.18507129	55.9444731993	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	3	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	0	2.537	[(None, 0.0), (0, 1.691), (0, 2.537)]	13.4551177095	52.8635605395	1209.64594172	69.4053432352	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	4	0.8	5	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_05.mp3	64	3.838	[(None, 0.0), (64, 2.79), (64, 3.837)]	14.7589060505	67.6279640739	1224.41034526	84.1697475598	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	5	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	38	2.96	[(None, 0.0), (38, 2.193), (38, 2.96)]	13.8853138078	81.5187516594	1238.30113324	98.0605343551	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	6	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	32	6.841	[(None, 0.0), (36, 3.36), (32, 5.967), (32, 6.841)]	17.7550138761	99.279064677	1256.06144626	115.820847768	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	7	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	16	2.117	[(None, 0.0), (16, 1.225), (16, 2.117)]	13.0338339834	112.318297368	1269.10067855	128.860080064	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	8	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	37	4.158	[(None, 0.0), (29, 1.691), (37, 3.628), (37, 4.158)]	15.0803030135	127.457710385	1284.24009157	143.999493476	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	9	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	31	3.275	[(None, 0.0), (31, 2.679), (31, 3.275)]	14.195507978	141.65857519	1298.44095677	158.200358281	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	10	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	38	1.993	[(None, 0.0), (38, 1.397), (38, 1.993)]	12.9204180522	154.584318856	1311.36670043	171.126101946	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	11	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	16	3.806	[(None, 0.0), (16, 2.976), (16, 3.806)]	14.7290527449	169.317677054	1326.10005942	185.859460935	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	12	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	43	3.993	[(None, 0.0), (43, 2.659), (43, 3.993)]	14.9187775783	184.242030347	1341.02441193	200.783813438	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	13	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	40	2.261	[(None, 0.0), (40, 1.32), (40, 2.261)]	13.1845714855	197.430922695	1354.21330427	213.972706972	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	14	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	0	2.553	[(None, 0.0), (0, 1.568), (0, 2.553)]	13.4757552027	210.912031959	1367.69441314	227.45381505	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	15	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	8	2.059	[(None, 0.0), (8, 1.369), (8, 2.059)]	12.979015605	223.896362905	1380.67874488	240.438146391	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
10	beautiful	1	16	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	14	2.478	[(None, 0.0), (14, 1.429), (14, 2.478)]	13.4028121958	237.30497563	1394.08735721	253.846758721	2019_Feb_19_1118	Sound Switch 12-20-2018	318-laptop	bpl	SB
