Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
12	beautiful	1	1	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	34	2.971	[(None, 0.0), (34, 2.182), (34, 2.971)]	13.8915876721	13.8928824295	1854.67178867	27.579132714	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	2	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	29	2.604	[(None, 0.0), (29, 1.976), (29, 2.604)]	13.5274826786	27.4258388859	1868.20474473	41.1120883801	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	3	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	51	2.374	[(None, 0.0), (51, 1.776), (51, 2.373)]	13.2926278242	40.7241210505	1881.5030269	54.4103709399	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	4	0.7	3	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_03.mp3	54	3.054	[(None, 0.0), (54, 1.77), (54, 3.054)]	13.9755501435	54.7042235881	1895.48312943	68.3904734774	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	5	0.2	1	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_01.mp3	39	2.17	[(None, 0.0), (39, 1.573), (39, 2.17)]	13.0920945122	67.8006152567	1908.5795211	81.486864751	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	6	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	22	2.631	[(None, 0.0), (22, 2.035), (22, 2.631)]	13.5515247873	81.3572637591	1922.13616921	95.0435132534	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	7	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	18	2.766	[(None, 0.0), (18, 2.106), (18, 2.766)]	13.6869997977	95.0490304926	1935.82793673	108.735281172	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	8	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	37	4.307	[(None, 0.0), (38, 1.896), (37, 1.922), (37, 4.306)]	15.2280290291	110.282836345	1951.06174179	123.969085839	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	9	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	32	2.266	[(None, 0.0), (32, 1.748), (32, 2.266)]	13.1867046547	123.474605054	1964.2535109	137.160854943	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
12	beautiful	1	10	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	35	3.615	[(None, 0.0), (33, 1.567), (35, 3.084), (35, 3.615)]	14.5203692173	138.000379695	1978.77928554	151.68662919	2019_Feb_19_1522	Sound Switch 12-20-2018	318-laptop	bpl	CF
