Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
13	patterned	1	1	0.9	13	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_13.mp3	60	4.898	[(None, 0.0), (60, 3.615), (60, 4.898)]	15.7947752171	15.7956954155	823.463105537	31.342808466	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	2	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	45	3.397	[(None, 0.0), (45, 2.721), (45, 3.397)]	14.3099981983	30.1113266187	837.778736345	45.6584396691	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	3	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	58	3.531	[(None, 0.0), (58, 2.669), (58, 3.531)]	14.4450642756	44.5622874338	852.22969716	60.109399694	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	4	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	43	2.784	[(None, 0.0), (43, 1.969), (43, 2.784)]	13.7270602329	58.294604532	865.962015839	73.8417183727	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	5	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	41	2.253	[(None, 0.0), (41, 1.588), (41, 2.253)]	13.1748772015	71.4747109415	879.142121063	87.0218235969	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	6	0.7	15	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_15.mp3	48	2.276	[(None, 0.0), (48, 1.405), (48, 2.276)]	13.2055507441	84.6846426043	892.352053121	100.231755655	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	7	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	37	2.336	[(None, 0.0), (37, 1.678), (37, 2.336)]	13.2591766971	97.9491472855	905.616557802	113.496261126	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	8	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	47	3.029	[(None, 0.0), (47, 2.213), (47, 3.029)]	13.9489528941	111.905033078	919.572443595	127.452146129	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	9	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	26	1.585	[(None, 0.0), (25, 0.862), (26, 1.036), (26, 1.585)]	12.5094307492	124.419613224	932.087023741	139.966726275	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	10	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	49	2.826	[(None, 0.0), (49, 2.118), (49, 2.826)]	13.747281286	138.172086183	945.839496305	153.719199234	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
13	patterned	1	11	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	56	2.744	[(None, 0.0), (56, 2.118), (56, 2.744)]	13.665456725	151.842748015	959.510158137	167.38986067	2019_Feb_19_1650	Sound Switch 12-20-2018	318-laptop	bpl	LS
