Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
15	patterned	1	1	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	60	8.092	[(None, 0.0), (60, 6.763), (60, 8.092)]	18.9973567509	18.9979818062	542.765033726	31.8087951051	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	2	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	74	10.573	[(None, 0.0), (73, 6.014), (74, 6.625), (74, 10.573)]	21.4800108733	40.4826825699	564.24973449	53.2934958688	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	3	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	42	7.196	[(None, 0.0), (42, 6.302), (42, 7.196)]	18.1095553652	58.6204792143	582.387531134	71.4312925132	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	4	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	73	8.03	[(None, 0.0), (80, 3.192), (73, 5.097), (73, 8.03)]	18.9381874818	77.5624269057	601.329478826	90.3732402046	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	5	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	29	5.283	[(None, 0.0), (29, 1.599), (29, 5.283)]	16.2053693911	93.7735636371	617.540615557	106.584376936	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	6	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	81	3.256	[(None, 0.0), (81, 1.74), (81, 3.256)]	14.1633219754	107.942245205	631.70929673	120.753058109	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	7	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	27	6.69	[(None, 0.0), (27, 3.037), (27, 6.69)]	17.5951380021	125.542708821	649.309760345	138.353521724	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	8	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	100	4.142	[(None, 0.0), (100, 2.236), (100, 4.142)]	15.0710235893	140.6190276	664.38607952	153.429840899	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	9	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	37	1.745	[(None, 0.0), (37, 0.696), (37, 1.744)]	12.6599264473	153.284288749	677.051341459	166.095102838	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	10	0.8	12	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_12.mp3	27	4.252	[(None, 0.0), (27, 1.708), (27, 4.252)]	15.1595917938	168.449192722	692.216244247	181.260006021	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	11	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	17	3.49	[(None, 0.0), (17, 2.224), (17, 3.49)]	14.4022803851	182.856763162	706.623815477	195.667576856	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	12	0.2	14	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_14.mp3	43	4.581	[(None, 0.0), (40, 2.036), (43, 2.553), (43, 4.581)]	15.4883262425	198.349661949	722.116713473	211.160474852	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	13	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	50	3.802	[(None, 0.0), (50, 2.255), (50, 3.802)]	14.739069039	213.094249807	736.861301727	225.905062711	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	14	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	56	4.676	[(None, 0.0), (56, 3.019), (56, 4.676)]	15.5925848368	228.691251912	752.458303832	241.502065211	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	15	0.7	12	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_12.mp3	42	4.833	[(None, 0.0), (45, 3.583), (42, 4.24), (42, 4.833)]	15.7554544176	244.452023251	768.219075566	257.262836945	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
15	patterned	1	16	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	52	4.832	[(None, 0.0), (52, 3.377), (52, 4.832)]	15.7524247563	260.209763348	783.976814873	273.020576647	2019_Feb_20_1044	Sound Switch 12-20-2018	318-laptop	bpl	MG
