Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
16	beautiful	1	1	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	57	3.819	[(None, 0.0), (57, 1.879), (57, 3.819)]	14.7221182658	14.7227089471	1837.09405581	26.5983075304	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	2	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	57	2.452	[(None, 0.0), (57, 1.508), (57, 2.452)]	13.3697111312	28.0964698994	1850.46781676	39.9720684827	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	3	0.9	13	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_13.mp3	47	2.241	[(None, 0.0), (47, 1.442), (47, 2.241)]	13.1643093415	41.2657599282	1863.63710679	53.1413585115	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	4	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	74	2.64	[(None, 0.0), (78, 1.428), (74, 1.929), (74, 2.64)]	13.56696152	54.8378585968	1877.20920902	66.7134638969	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	5	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	75	3.057	[(None, 0.0), (76, 0.589), (71, 1.065), (75, 1.611), (75, 3.057)]	13.987734376	68.8285530957	1891.19989996	80.704151679	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	6	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	33	2.768	[(None, 0.0), (38, 1.186), (33, 2.377), (33, 2.768)]	13.6757543335	82.5090621168	1904.88040938	94.3846618854	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	7	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	56	2.381	[(None, 0.0), (56, 0.995), (56, 2.381)]	13.2906957632	95.8045536584	1918.17590013	107.680151847	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	8	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	50	1.516	[(None, 0.0), (50, 0.983), (50, 1.516)]	12.4354482223	108.244512394	1930.61585965	120.120112952	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	9	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	60	1.641	[(None, 0.0), (60, 1.198), (60, 1.641)]	12.5418992515	120.790305005	1943.16165187	132.665903588	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
16	beautiful	1	10	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	70	1.528	[(None, 0.0), (70, 1.041), (70, 1.528)]	12.4467663858	133.242069067	1955.61341672	145.117668441	2019_Feb_20_1336	Sound Switch 12-20-2018	318-laptop	bpl	SY
