Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
19	patterned	1	1	0.3	6	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_06.mp3	89	3.26	[(None, 0.0), (89, 2.384), (89, 3.26)]	14.1590866976	14.1597054383	724.496758328	27.4354773134	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	2	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	54	2.015	[(None, 0.0), (54, 1.139), (54, 2.015)]	12.9232042394	27.0878493307	737.42490222	40.3636212058	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	3	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	77	2.335	[(None, 0.0), (77, 1.646), (77, 2.335)]	13.2513703369	40.3447745054	750.68182779	53.6205467756	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	4	0.4	10	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_10.mp3	22	2.199	[(None, 0.0), (22, 1.542), (22, 2.199)]	13.1054877878	53.4548467431	763.791900028	66.7306190134	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	5	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	45	1.87	[(None, 0.0), (45, 1.259), (45, 1.87)]	12.7766100989	66.2366774176	776.573730307	79.5124492927	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	6	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	31	1.753	[(None, 0.0), (31, 1.141), (31, 1.753)]	12.6871139538	78.9296504431	789.266703333	92.2054227133	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	7	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	34	2.929	[(None, 0.0), (34, 2.349), (34, 2.929)]	13.8409800758	92.7759526375	803.113005527	106.051724513	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	8	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	62	2.244	[(None, 0.0), (62, 1.208), (62, 2.244)]	13.161077652	105.942409699	816.279462589	119.218181574	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	9	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	60	2.541	[(None, 0.0), (60, 1.258), (60, 2.541)]	13.4478434357	119.394525053	829.731578338	132.670297323	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	10	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	39	1.911	[(None, 0.0), (39, 1.191), (39, 1.911)]	12.8345283406	132.234616924	842.571670209	145.510389194	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	11	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	61	2.95	[(None, 0.0), (61, 2.088), (61, 2.95)]	13.8585596617	146.097564667	856.434617556	159.373336542	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	12	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	24	2.164	[(None, 0.0), (24, 1.366), (24, 2.164)]	13.0725254223	159.174560352	869.511612847	172.450331832	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	13	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	32	1.834	[(None, 0.0), (32, 1.098), (32, 1.834)]	12.7408523371	171.919812228	882.256865118	185.195584103	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	14	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	58	1.852	[(None, 0.0), (58, 1.24), (58, 1.852)]	12.7609539038	184.693455059	895.030507948	197.969226934	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	15	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	100	3.295	[(None, 0.0), (99, 1.791), (100, 2.386), (100, 3.295)]	14.2163779012	198.914244747	909.251298032	212.190017017	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	16	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	98	2.256	[(None, 0.0), (98, 1.474), (98, 2.256)]	13.1535934968	212.072295074	922.409347963	225.348066949	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	17	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	43	1.943	[(None, 0.0), (43, 1.379), (43, 1.943)]	12.8512224871	224.927831756	935.264884646	238.203603631	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	18	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	35	1.807	[(None, 0.0), (35, 1.18), (35, 1.807)]	12.7272716497	237.660484001	947.99753689	250.936256271	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	19	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	44	3.645	[(None, 0.0), (44, 1.349), (44, 3.645)]	14.5661311754	252.231941246	962.568994135	265.507715096	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	20	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	34	1.686	[(None, 0.0), (34, 1.121), (34, 1.686)]	12.6000564216	264.836386933	975.173439823	278.112158809	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	21	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	56	2.083	[(None, 0.0), (56, 1.487), (56, 2.083)]	12.9919243666	277.833606156	988.170659046	291.109378031	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
19	patterned	1	22	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	37	6.089	[(None, 0.0), (37, 5.556), (37, 6.089)]	17.0069614259	294.845020856	1005.18207414	308.120793126	2019_Feb_21_1039	Sound Switch 12-20-2018	318-laptop	bpl	RYC
