Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
27	patterned	1	1	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	66	6.147	[(None, 0.0), (66, 5.38), (66, 6.147)]	17.0319507437	17.0323296563	2885.55052319	37.531093943	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	2	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	41	4.039	[(None, 0.0), (41, 2.959), (41, 4.039)]	14.962721169	32.0008487009	2900.51904223	52.4996133828	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	3	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	83	6.257	[(None, 0.0), (83, 5.237), (83, 6.257)]	17.1839673764	49.1903915048	2917.70858504	69.6891561866	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	4	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	74	4.4	[(None, 0.0), (74, 3.567), (74, 4.4)]	15.3227777806	64.5188336131	2933.03702675	85.0175978999	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	5	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	83	8.295	[(None, 0.0), (83, 7.511), (83, 8.295)]	19.2194456814	83.7426275037	2952.26082104	104.24139179	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	6	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	76	3.865	[(None, 0.0), (76, 2.94), (76, 3.865)]	14.7887351156	98.5367653828	2967.05495891	119.035530065	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	7	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	16	5.036	[(None, 0.0), (16, 4.359), (16, 5.036)]	15.9428600667	114.483940864	2983.0021344	134.982705941	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	8	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	36	4.915	[(None, 0.0), (36, 3.315), (36, 4.915)]	15.858392992	130.346708538	2998.86490246	150.845473615	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	9	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	38	8.507	[(None, 0.0), (38, 7.524), (38, 8.507)]	19.4264279452	149.777378407	3018.29557154	170.276143089	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	10	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	82	2.5	[(None, 0.0), (82, 1.617), (82, 2.5)]	13.4272193548	163.209077544	3031.72727187	183.707843016	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	11	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	68	2.394	[(None, 0.0), (68, 1.719), (68, 2.394)]	13.3051944999	176.517569649	3045.03576318	197.016334726	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	12	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	68	4.148	[(None, 0.0), (68, 1.566), (68, 4.148)]	15.0733434824	191.59576985	3060.11396338	212.094534532	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	13	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	29	3.215	[(None, 0.0), (29, 2.306), (29, 3.214)]	14.1400826654	205.741356428	3074.25954996	226.24012111	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	14	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	60	4.536	[(None, 0.0), (60, 3.752), (60, 4.536)]	15.4587493041	221.205457131	3089.72365066	241.704221418	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	15	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	90	1.889	[(None, 0.0), (90, 1.262), (90, 1.888)]	12.831218759	234.042030055	3102.56022319	254.540794341	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	16	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	88	3.125	[(None, 0.0), (88, 2.358), (88, 3.125)]	14.0501369656	248.097455596	3116.61564913	268.596220278	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	17	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	81	2.882	[(None, 0.0), (81, 2.224), (81, 2.882)]	13.806563761	261.909530382	3130.42772391	282.408294668	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	18	0.7	13	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_13.mp3	69	4.418	[(None, 0.0), (69, 3.822), (69, 4.418)]	15.3567507083	277.271903931	3145.79009746	297.770668613	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	19	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	30	7.317	[(None, 0.0), (30, 6.609), (30, 7.317)]	18.2400669794	295.517298602	3164.03549174	316.016062889	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	20	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	23	2.487	[(None, 0.0), (23, 1.498), (23, 2.487)]	13.4149538884	308.937741389	3177.45593532	329.436506466	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
27	patterned	1	21	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	63	4.351	[(None, 0.0), (63, 3.565), (63, 4.351)]	15.2771134845	324.219875168	3192.7380687	344.71863985	2019_Feb_26_1320	Sound Switch 12-20-2018	318-laptop	bpl	AK
