Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
28	beautiful	1	1	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	39	9.098	[(None, 0.0), (58, 2.505), (41, 7.974), (39, 8.473), (39, 9.098)]	19.9746077228	19.9749791282	1283.41102055	34.6514273229	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	2	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	19	3.561	[(None, 0.0), (16, 1.763), (19, 2.202), (19, 3.561)]	14.4853229666	34.4658427525	1297.90188457	49.1422913423	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	3	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	21	4.052	[(None, 0.0), (21, 1.723), (21, 4.052)]	14.9770048682	49.4474455407	1312.88348656	64.1238933403	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	4	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	52	4.154	[(None, 0.0), (52, 1.761), (52, 4.154)]	15.0783697041	64.5301365863	1327.96617761	79.2065843859	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	5	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	19	2.381	[(None, 0.0), (19, 1.692), (19, 2.381)]	13.3048499621	77.839921104	1341.27596213	92.5163685085	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	6	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	18	4.399	[(None, 0.0), (18, 1.677), (18, 4.399)]	15.3231211331	93.1684291961	1356.60447022	107.844876601	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	7	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	54	6.053	[(None, 0.0), (58, 2.006), (54, 5.459), (54, 6.053)]	16.9755307048	110.149307744	1373.58534916	124.825755938	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	8	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	21	2.933	[(None, 0.0), (21, 1.728), (21, 2.933)]	13.8409306155	123.995621367	1387.43166239	138.672069167	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	9	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	41	2.73	[(None, 0.0), (41, 1.634), (41, 2.73)]	13.6548857395	137.655798053	1401.09183868	152.332245458	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	10	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	35	4.266	[(None, 0.0), (41, 2.232), (35, 3.717), (35, 4.266)]	15.1898403233	152.849847111	1416.28588853	167.526295701	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	11	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	56	2.822	[(None, 0.0), (56, 1.6), (56, 2.822)]	13.7438491904	166.59901135	1430.03505277	181.275460335	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	12	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	32	3.28	[(None, 0.0), (32, 1.402), (32, 3.28)]	14.1997730476	180.854271182	1444.290313	195.530720562	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	13	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	29	3.009	[(None, 0.0), (29, 1.397), (29, 3.009)]	13.9314598959	194.791061141	1458.22710177	209.46750894	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	14	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	58	2.655	[(None, 0.0), (58, 1.621), (58, 2.654)]	13.5786093396	208.374023036	1471.81006406	223.050470835	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	15	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	26	2.256	[(None, 0.0), (26, 1.457), (26, 2.256)]	13.1820076201	221.561536149	1484.99757678	236.237983553	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	16	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	24	4.623	[(None, 0.0), (26, 2.106), (24, 3.857), (24, 4.623)]	15.5692289821	237.135248468	1500.57128949	251.811696268	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	17	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	61	2.403	[(None, 0.0), (61, 1.558), (61, 2.403)]	13.326869562	250.467573739	1513.90361476	265.144021143	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	18	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	73	3.263	[(None, 0.0), (77, 1.433), (73, 2.56), (73, 3.263)]	14.1817563288	264.659367497	1528.09540892	279.335816086	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	19	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	74	3.649	[(None, 0.0), (77, 1.694), (74, 2.993), (74, 3.649)]	14.5709639195	279.235693878	1542.6717349	293.912141678	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	20	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	68	4.888	[(None, 0.0), (70, 1.603), (66, 3.076), (68, 4.357), (68, 4.888)]	15.8137350465	295.053792938	1558.48983396	309.730241528	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	21	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	26	3.481	[(None, 0.0), (26, 2.198), (26, 3.481)]	14.4049599218	309.464549946	1572.90059097	324.140997745	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	22	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	75	3.678	[(None, 0.0), (76, 1.707), (75, 1.851), (75, 3.678)]	14.6016032861	324.070829384	1587.50687001	338.747276788	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	23	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	70	1.841	[(None, 0.0), (70, 1.245), (70, 1.841)]	12.7649074825	336.841134493	1600.27717552	351.517581898	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	24	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	61	4.276	[(None, 0.0), (67, 1.432), (61, 2.949), (61, 4.275)]	15.1987971206	352.044316964	1615.48035759	366.720764368	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	25	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	42	4.693	[(None, 0.0), (56, 1.145), (42, 1.897), (47, 3.881), (42, 4.317), (42, 4.693)]	15.6231598146	367.672057708	1631.10809992	382.348508669	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	26	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	31	6.104	[(None, 0.0), (24, 1.756), (28, 2.259), (35, 4.152), (31, 5.713), (31, 6.104)]	17.0291493986	384.705698742	1648.14173977	399.382146542	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	27	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	25	2.995	[(None, 0.0), (25, 1.414), (25, 2.995)]	13.9014712791	398.612388267	1662.04842929	413.288836067	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	28	0.8	12	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_12.mp3	22	1.952	[(None, 0.0), (22, 1.512), (22, 1.951)]	12.8739236651	411.491629352	1674.92767038	426.168077546	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	29	0.4	12	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_12.mp3	30	2.965	[(None, 0.0), (36, 1.356), (34, 1.764), (30, 2.419), (30, 2.965)]	13.8749920484	425.370157654	1688.80619868	440.046605453	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	30	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	59	2.728	[(None, 0.0), (59, 1.647), (59, 2.728)]	13.651015616	439.026323952	1702.46236458	453.702771356	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	31	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	35	1.773	[(None, 0.0), (35, 1.114), (35, 1.773)]	12.6970785803	451.729005617	1715.16504664	466.405453417	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	32	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	28	1.711	[(None, 0.0), (28, 1.318), (28, 1.711)]	12.6327357526	464.366172553	1727.80221358	479.042620352	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	33	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	32	3.201	[(None, 0.0), (32, 2.027), (32, 3.201)]	14.1255970638	478.4961684	1741.93220903	493.172615804	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	34	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	22	2.045	[(None, 0.0), (22, 1.372), (22, 2.045)]	12.9692701528	491.471010424	1754.90705145	506.147458224	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	35	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	47	3.994	[(None, 0.0), (51, 1.587), (50, 1.612), (47, 3.261), (47, 3.994)]	14.9041355203	506.37923575	1769.81527717	521.055683945	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	36	0.3	12	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_12.mp3	31	2.761	[(None, 0.0), (31, 1.587), (31, 2.761)]	13.6859170573	520.070582044	1783.50662267	534.747029448	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	37	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	53	2.648	[(None, 0.0), (53, 1.848), (53, 2.648)]	13.5713712802	533.647539024	1797.08358044	548.323987219	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	38	0.3	6	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_06.mp3	60	3.374	[(None, 0.0), (62, 1.559), (61, 2.436), (60, 2.467), (60, 3.374)]	14.3030154564	547.955270144	1811.39131117	562.631718339	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	39	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	51	3.551	[(None, 0.0), (55, 2.128), (51, 2.942), (51, 3.551)]	14.474469236	562.435061936	1825.87110296	577.11150934	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	40	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	45	2.434	[(None, 0.0), (45, 1.587), (45, 2.434)]	13.3530236155	575.792430204	1839.22847123	590.468878004	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	41	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	21	2.727	[(None, 0.0), (20, 2.022), (21, 2.103), (21, 2.727)]	13.649775359	589.447543133	1852.88358574	604.123992909	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	42	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	40	2.436	[(None, 0.0), (40, 1.871), (40, 2.436)]	13.3599922084	602.812328447	1866.24836987	617.488776642	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
28	beautiful	1	43	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	31	4.148	[(None, 0.0), (38, 2.257), (35, 2.852), (31, 3.569), (31, 4.148)]	15.0701126504	617.888014945	1881.32405597	632.564462744	2019_Feb_26_1526	Sound Switch 12-20-2018	318-laptop	bpl	AED
