Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
31	patterned	1	1	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	59	5.059	[(None, 0.0), (59, 4.145), (59, 5.059)]	15.9956051676	15.9964321373	7139.76772858	26.1118408393	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	2	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	36	2.152	[(None, 0.0), (36, 1.335), (36, 2.152)]	13.0814831878	29.0835456732	7152.85484251	39.1989543752	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	3	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	39	2.473	[(None, 0.0), (39, 1.752), (39, 2.473)]	13.3991983965	42.4884230165	7166.25971946	52.6038317186	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	4	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	62	1.937	[(None, 0.0), (62, 1.185), (62, 1.937)]	12.8599165444	55.3527987966	7179.12409643	65.468208684	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	5	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	58	1.685	[(None, 0.0), (58, 1.02), (58, 1.685)]	12.6086544574	67.9670255207	7191.73832236	78.0824342227	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	6	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	52	1.921	[(None, 0.0), (52, 1.307), (52, 1.921)]	12.8475708703	80.8198588896	7204.59115573	90.9352675917	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	7	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	23	1.682	[(None, 0.0), (23, 1.118), (23, 1.682)]	12.6046602687	93.4301285655	7217.20142541	103.545537268	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	8	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	61	1.999	[(None, 0.0), (61, 1.356), (61, 1.999)]	12.9244486309	106.359942424	7230.13123887	116.475351126	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	9	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	59	2.389	[(None, 0.0), (59, 1.831), (59, 2.389)]	13.3184003332	119.682645134	7243.45394158	129.79805344	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
31	patterned	1	10	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	62	1.937	[(None, 0.0), (62, 1.261), (62, 1.937)]	12.9594990294	132.647520849	7256.4188173	142.762929946	2019_Feb_27_1155	Sound Switch 12-20-2018	318-laptop	bpl	ADP
