Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
33	patterned	1	1	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	65	3.163	[(None, 0.0), (65, 2.081), (65, 3.163)]	14.0866354589	14.0873936585	1094.09494602	28.8596951556	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	2	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	75	3.416	[(None, 0.0), (73, 1.457), (75, 2.679), (75, 3.416)]	14.336070464	28.4278857019	1108.43543806	43.2001875941	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	3	0.4	1	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_01.mp3	74	1.955	[(None, 0.0), (74, 1.06), (74, 1.955)]	12.8836576589	41.3173715012	1121.32492386	56.0896733934	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	4	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	78	1.821	[(None, 0.0), (78, 1.148), (78, 1.821)]	12.7444235392	54.0673351519	1134.07488751	68.8396362539	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	5	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	75	2.149	[(None, 0.0), (73, 0.976), (75, 1.478), (75, 2.149)]	13.0622727179	67.1340768614	1147.14162962	81.9063787537	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	6	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	77	1.689	[(None, 0.0), (77, 1.028), (77, 1.689)]	12.6028440977	79.7425551048	1159.75010747	94.5148566019	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	7	0.1	17	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_17.mp3	52	4.163	[(None, 0.0), (45, 0.99), (40, 1.633), (50, 2.459), (52, 3.07), (52, 4.163)]	15.0872146775	94.8353035722	1174.84285593	109.607604674	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	8	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	60	3.108	[(None, 0.0), (55, 0.781), (57, 1.408), (60, 2.41), (60, 3.108)]	14.0357381047	108.876565589	1188.88411835	123.648867086	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	9	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	62	1.752	[(None, 0.0), (62, 1.071), (62, 1.752)]	12.6787237119	121.56066189	1201.56821425	136.332962992	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	10	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	74	2.034	[(None, 0.0), (74, 0.606), (74, 2.034)]	12.958145726	134.524390398	1214.53194276	149.2966915	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	11	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	75	1.293	[(None, 0.0), (75, 0.728), (75, 1.293)]	12.2454990051	146.775293995	1226.78284675	161.547595887	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	12	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	74	1.764	[(None, 0.0), (74, 1.181), (74, 1.764)]	12.6982476464	159.479115336	1239.48666809	174.251417229	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	13	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	77	1.199	[(None, 0.0), (77, 0.629), (77, 1.199)]	12.112553714	171.597160564	1251.60471332	186.369462457	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	14	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	75	1.919	[(None, 0.0), (75, 1.039), (75, 1.919)]	12.8418132624	184.444358664	1264.45191221	199.216662531	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
33	patterned	1	15	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	76	1.669	[(None, 0.0), (76, 1.011), (76, 1.669)]	12.5934877021	197.041572172	1277.04912453	211.813873669	2019_Feb_28_1033	Sound Switch 12-20-2018	318-laptop	bpl	EG
