Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
36	beautiful	1	1	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	49	3.365	[(None, 0.0), (48, 2.645), (49, 2.694), (49, 3.365)]	14.2531919996	14.2536594155	4770.7215794	29.5151846925	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	2	0.4	19	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_19.mp3	62	2.119	[(None, 0.0), (62, 1.445), (62, 2.119)]	13.0411325924	27.2996182837	4783.76753827	42.5611435607	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	3	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	21	2.212	[(None, 0.0), (21, 1.554), (21, 2.212)]	13.1368394393	40.4409287944	4796.90884878	55.7024540714	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	4	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	51	2.759	[(None, 0.0), (51, 1.645), (51, 2.759)]	13.6807459056	54.1293256213	4810.59724561	69.3908516885	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	5	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	36	3.628	[(None, 0.0), (39, 0.897), (31, 1.886), (32, 2.416), (36, 2.993), (36, 3.628)]	14.5660259422	68.7001122509	4825.16803184	83.9616375279	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	6	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	61	2.07	[(None, 0.0), (61, 0.881), (61, 2.07)]	13.0039321405	81.7087900647	4838.17670965	96.9703161319	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	7	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	43	3.225	[(None, 0.0), (61, 1.137), (55, 1.81), (49, 2.247), (48, 2.372), (43, 2.606), (43, 3.225)]	14.1579865481	95.8705728353	4852.33849282	111.132098507	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	8	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	38	2.649	[(None, 0.0), (35, 1.6), (38, 2.149), (38, 2.649)]	13.556231941	109.431811222	4865.89973121	124.69333729	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	9	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	53	2.412	[(None, 0.0), (58, 1.551), (53, 1.928), (53, 2.412)]	13.3326254269	122.787541926	4879.25546191	138.049067203	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	10	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	32	1.973	[(None, 0.0), (32, 1.346), (32, 1.973)]	12.8974889537	135.689995049	4892.15791464	150.951520326	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	11	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	38	1.954	[(None, 0.0), (34, 0.859), (38, 1.377), (38, 1.954)]	12.8882429709	148.583030712	4905.0509507	163.844555989	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	12	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	20	2.493	[(None, 0.0), (20, 1.752), (20, 2.493)]	13.4175615592	162.005137623	4918.47305721	177.2666629	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	13	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	4	1.682	[(None, 0.0), (8, 0.54), (4, 0.932), (4, 1.682)]	12.6047542867	174.614892429	4931.08281281	189.876418101	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	14	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	52	2.351	[(None, 0.0), (49, 1.428), (52, 1.836), (52, 2.351)]	13.2730032395	187.892765802	4944.36068579	203.154291474	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	15	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	15	1.522	[(None, 0.0), (19, 0.613), (16, 1.037), (15, 1.115), (15, 1.522)]	12.4443168676	200.381104705	4956.84902469	215.642629982	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	16	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	42	1.43	[(None, 0.0), (42, 0.834), (42, 1.43)]	12.3523465815	212.738419803	4969.20633939	227.99994587	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	17	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	35	1.87	[(None, 0.0), (35, 0.835), (35, 1.87)]	12.7939245426	225.537420331	4982.00534031	240.798946003	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
36	beautiful	1	18	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	23	1.063	[(None, 0.0), (24, 0.572), (23, 0.683), (23, 1.063)]	11.9952784285	237.537143358	4994.00506334	252.79866903	2019_Mar_01_0833	Sound Switch 12-20-2018	318-laptop	bpl	KSM
