Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
22	beautiful	1	1	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	53	5.022	[(None, 0.0), (53, 4.332), (53, 5.022)]	15.9017257177	15.9021844393	1294.88489486	34.3899828799	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	2	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	58	5.339	[(None, 0.0), (58, 4.709), (58, 5.339)]	16.2505773531	32.1575931855	1311.140304	50.6453916261	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	3	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	55	7.758	[(None, 0.0), (55, 7.269), (55, 7.758)]	18.6787246039	50.8407600001	1329.82347161	69.328559231	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	4	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	49	3.17	[(None, 0.0), (49, 2.371), (49, 3.17)]	14.0921516729	64.9385751657	1343.92128559	83.4263736064	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	5	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	22	3.583	[(None, 0.0), (22, 2.831), (22, 3.583)]	14.4954224644	79.4393130318	1358.42202385	97.9271114725	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	6	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	57	3.52	[(None, 0.0), (57, 2.75), (57, 3.52)]	14.4414296309	93.8850876767	1372.86779889	112.372886908	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	7	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	55	3.013	[(None, 0.0), (55, 2.462), (55, 3.012)]	13.9345493999	107.823937838	1386.80664905	126.311736674	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	8	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	44	3.887	[(None, 0.0), (44, 3.01), (44, 3.886)]	14.8028078028	122.636206132	1401.61891735	141.124005362	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	9	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	41	10.323	[(None, 0.0), (41, 9.726), (41, 10.323)]	21.234471919	143.876180339	1422.85889116	162.363979175	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	10	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	41	2.842	[(None, 0.0), (41, 2.309), (41, 2.842)]	13.7488374905	157.62936798	1436.6120788	176.11716642	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	11	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	18	3.182	[(None, 0.0), (18, 2.304), (18, 3.182)]	14.1022332747	171.736020154	1450.71873097	190.223819385	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
22	beautiful	1	12	0.9	13	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_13.mp3	19	7.602	[(None, 0.0), (19, 5.522), (19, 7.602)]	18.5233819594	190.265280545	1469.24799215	208.753080171	2019_Feb_21_1629	Sound Switch 12-20-2018	318-laptop	bpl	RC
