Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
46	beautiful	1	1	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	60	5.112	[(None, 0.0), (60, 2.66), (63, 3.817), (60, 4.378), (60, 5.112)]	16.002402677	16.0026966404	2448.41134889	77.9334390127	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	2	0.3	12	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_12.mp3	42	1.993	[(None, 0.0), (42, 1.242), (42, 1.993)]	12.9069929713	28.9152808437	2461.32393269	90.8460228209	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	3	0.7	16	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_16.mp3	34	1.635	[(None, 0.0), (34, 0.946), (34, 1.635)]	12.5549061668	41.4752389144	2473.88389116	103.405981287	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	4	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	52	6.163	[(None, 0.0), (48, 0.87), (51, 1.341), (52, 4.914), (52, 6.163)]	17.0860368553	58.565240325	2490.97389217	120.495982302	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	5	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	54	3.89	[(None, 0.0), (54, 3.121), (54, 3.89)]	14.7925036953	73.3615457893	2505.77019764	135.292287371	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	6	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	41	4.215	[(None, 0.0), (35, 1.151), (41, 2.872), (41, 4.215)]	15.1458726388	88.5163807569	2520.925033	150.447123524	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	7	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	34	2.151	[(None, 0.0), (38, 0.93), (35, 1.447), (34, 1.541), (34, 2.151)]	13.0806696519	101.601941897	2534.01059414	163.532684269	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	8	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	35	3.117	[(None, 0.0), (39, 0.93), (35, 2.134), (35, 3.117)]	14.0414132845	115.647094918	2548.05574677	177.577837686	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	9	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	41	3.036	[(None, 0.0), (31, 0.99), (38, 2.006), (41, 2.349), (41, 3.036)]	13.962263234	129.613045734	2562.02169837	191.543788106	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	10	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	35	3.242	[(None, 0.0), (40, 0.758), (35, 2.15), (35, 3.242)]	14.1664326944	143.783189717	2576.19184157	205.713931694	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	11	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	33	4.756	[(None, 0.0), (37, 2.394), (35, 2.928), (31, 3.491), (33, 4.052), (33, 4.756)]	15.6811061718	159.469296823	2591.87794867	221.400039195	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	12	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	46	1.591	[(None, 0.0), (46, 0.918), (46, 1.591)]	12.5133944993	171.986562236	2604.39521448	233.917304608	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	13	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	45	4.479	[(None, 0.0), (49, 0.98), (46, 2.451), (42, 2.825), (45, 3.949), (45, 4.479)]	15.4044360031	187.396035524	2619.80468777	249.326777501	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	14	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	42	2.65	[(None, 0.0), (40, 1.538), (42, 2.041), (42, 2.65)]	13.5733104906	200.973119335	2633.38177119	262.903861708	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	15	0.4	5	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_05.mp3	36	1.464	[(None, 0.0), (36, 0.837), (36, 1.464)]	12.3763210081	213.354176948	2645.7628288	275.284918925	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	16	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	12	4.601	[(None, 0.0), (4, 1.494), (12, 2.495), (12, 4.601)]	15.5067412059	228.867515736	2661.27616798	290.798258504	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	17	0.7	3	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_03.mp3	31	1.558	[(None, 0.0), (31, 0.9), (31, 1.558)]	12.4667523006	241.339266996	2673.74791924	303.270008973	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	18	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	32	3.476	[(None, 0.0), (20, 1.04), (32, 2.821), (32, 3.476)]	14.3985598952	255.769418478	2688.17807072	317.70016085	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	19	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	13	1.324	[(None, 0.0), (13, 0.525), (13, 1.324)]	12.2445898282	268.052835582	2700.46148822	329.983578349	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	20	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	41	1.854	[(None, 0.0), (41, 1.118), (41, 1.854)]	12.7755134779	280.833414397	2713.24206664	342.764156769	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	21	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	51	3.163	[(None, 0.0), (51, 0.992), (51, 3.163)]	14.0871044483	294.92528943	2727.33394128	356.856031407	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	22	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	53	3.071	[(None, 0.0), (42, 1.212), (47, 1.947), (52, 2.291), (53, 2.321), (53, 3.071)]	13.9944407721	308.924724419	2741.33337666	370.855467187	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	23	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	43	3.386	[(None, 0.0), (50, 1.071), (43, 2.197), (43, 3.386)]	14.3084482484	323.237996592	2755.64664884	385.168738964	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	24	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	14	1.544	[(None, 0.0), (14, 0.714), (14, 1.544)]	12.4562142646	335.698930471	2768.10758272	397.629673633	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	25	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	18	2.382	[(None, 0.0), (18, 1.287), (18, 2.382)]	13.2898677046	348.993173252	2781.4018251	410.923914834	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	26	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	7	1.282	[(None, 0.0), (7, 0.593), (7, 1.282)]	12.1997631698	361.197750864	2793.6064035	423.128493631	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	27	0.1	5	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_05.mp3	9	1.612	[(None, 0.0), (9, 0.844), (9, 1.612)]	12.5191034747	373.720793606	2806.12944585	435.651535979	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	28	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	13	5.05	[(None, 0.0), (21, 0.877), (12, 2.051), (3, 3.315), (8, 3.894), (13, 4.299), (13, 5.05)]	15.9893473814	389.71393604	2822.12258828	451.644678412	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	29	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	31	4.399	[(None, 0.0), (19, 1.102), (27, 1.667), (31, 3.493), (31, 4.399)]	15.3129027427	405.030799782	2837.43945203	466.961541759	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	30	0.2	12	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_12.mp3	36	2.008	[(None, 0.0), (36, 1.397), (36, 2.008)]	12.9189783032	417.954560523	2850.36321277	479.885303685	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	31	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	33	2.777	[(None, 0.0), (33, 1.915), (33, 2.777)]	13.6962610933	431.655583508	2864.06423575	493.58632588	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	32	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	43	3.244	[(None, 0.0), (43, 2.742), (43, 3.244)]	14.17968199	445.839333572	2878.24798542	507.770075549	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	33	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	32	5.185	[(None, 0.0), (44, 2.887), (39, 4.123), (32, 4.483), (32, 5.185)]	16.0958289196	461.939899491	2894.34855134	523.870641469	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
46	beautiful	1	34	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	33	6.305	[(None, 0.0), (33, 5.568), (33, 6.305)]	17.2274293174	479.170671458	2911.5793237	541.10141383	2019_Mar_07_1512	Sound Switch 12-20-2018	318-laptop	bpl	HC
