Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
09	patterned	1	1	0.8	19	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_19.mp3	54	4.099	[(None, 0.0), (50, 1.896), (51, 2.647), (52, 2.694), (53, 2.725), (54, 2.819), (54, 4.099)]	14.9865684226	14.9873483589	647.739993188	26.0739050864	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	2	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	42	3.665	[(None, 0.0), (51, 1.4), (50, 1.808), (49, 1.871), (48, 1.902), (47, 1.918), (46, 1.949), (45, 1.965), (44, 1.975), (43, 1.996), (42, 2.12), (42, 3.665)]	14.5808391703	29.5741611141	662.326805944	40.6607182368	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	3	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	81	2.371	[(None, 0.0), (76, 0.885), (77, 1.152), (78, 1.183), (79, 1.261), (80, 1.308), (81, 1.557), (81, 2.371)]	13.2980439167	42.8775879345	675.630234344	53.9641470326	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	4	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	40	4.895	[(None, 0.0), (48, 1.771), (47, 2.507), (46, 2.57), (45, 2.633), (44, 2.663), (45, 2.851), (46, 2.866), (47, 2.898), (48, 2.913), (49, 2.945), (50, 2.96), (51, 2.975), (52, 3.007), (53, 3.054), (54, 3.07), (55, 3.1), (56, 3.132), (57, 3.178), (58, 3.21), (59, 3.241), (60, 3.256), (59, 3.615), (58, 3.865), (56, 3.896), (54, 3.911), (51, 3.927), (50, 3.943), (48, 3.958), (47, 3.974), (46, 3.99), (45, 4.005), (44, 4.115), (43, 4.146), (42, 4.161), (41, 4.193), (40, 4.208), (40, 4.895)]	15.8144751274	58.6975846472	691.450229872	69.78414256	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	5	0.8	12	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_12.mp3	38	2.582	[(None, 0.0), (38, 1.893), (38, 2.582)]	13.4951417951	72.1988304117	704.951474846	83.2853871392	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	6	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	30	2.914	[(None, 0.0), (30, 1.725), (30, 2.914)]	13.831892914	86.035602076	718.78824651	97.1221584085	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	7	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	68	1.833	[(None, 0.0), (68, 1.253), (68, 1.833)]	12.7476657226	98.7876704481	731.540315278	109.874227176	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	8	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	95	2.771	[(None, 0.0), (94, 0.792), (95, 1.387), (96, 1.574), (97, 1.761), (96, 2.042), (95, 2.104), (95, 2.771)]	13.6924087783	112.48587857	745.238525375	123.572438063	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	9	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	70	1.821	[(None, 0.0), (70, 1.319), (70, 1.821)]	12.7317880533	125.223279873	757.975924307	136.309836205	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	10	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	63	2.35	[(None, 0.0), (63, 1.785), (63, 2.349)]	13.2660961621	138.494900386	771.247544821	149.581457114	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	11	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	58	1.803	[(None, 0.0), (58, 1.301), (58, 1.802)]	12.6966557565	151.196147257	783.948791691	162.282703985	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	12	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	45	5.126	[(None, 0.0), (31, 1.458), (45, 4.159), (45, 5.126)]	16.043625068	167.245418763	799.998063198	178.331975491	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	13	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	57	2.589	[(None, 0.0), (57, 1.354), (57, 2.589)]	13.5165951791	180.76754264	813.520188654	191.854102133	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	14	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	100	3.128	[(None, 0.0), (98, 1.254), (99, 2.286), (100, 2.317), (100, 3.128)]	14.0517401192	194.82499755	827.577641985	205.911554278	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	15	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	60	1.993	[(None, 0.0), (60, 1.131), (60, 1.993)]	12.9137708141	207.743566118	840.496211343	218.830123636	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	16	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	50	2.695	[(None, 0.0), (50, 2.037), (50, 2.695)]	13.6153815761	221.364470465	854.117115295	232.451027588	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	17	0.1	10	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_10.mp3	63	2.803	[(None, 0.0), (63, 1.88), (63, 2.803)]	13.7149332906	235.085146204	867.837790639	246.171702932	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	18	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	85	2.07	[(None, 0.0), (85, 1.427), (85, 2.069)]	12.9606942144	248.051408627	880.804053061	259.137964959	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	19	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	61	3.043	[(None, 0.0), (61, 2.479), (61, 3.043)]	13.9835008313	262.040333057	894.792979467	273.126892155	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	20	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	31	6.156	[(None, 0.0), (55, 2.737), (54, 3.706), (53, 3.815), (52, 3.862), (51, 3.878), (49, 3.894), (48, 3.909), (46, 3.925), (47, 4.939), (46, 4.954), (45, 5.001), (44, 5.032), (42, 5.048), (31, 5.641), (31, 6.156)]	17.0811584148	279.126056114	911.878701339	290.212614817	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	21	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	39	2.723	[(None, 0.0), (39, 2.05), (39, 2.723)]	13.6445738719	292.77635347	925.528998695	303.862910593	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	22	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	90	1.993	[(None, 0.0), (89, 1.382), (90, 1.407), (90, 1.993)]	12.9143097366	305.696036628	938.448681062	316.782593355	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	23	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	100	2.27	[(None, 0.0), (98, 1.129), (99, 1.209), (100, 1.303), (100, 2.27)]	13.1931705397	318.894599159	951.647243593	329.981155491	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
09	patterned	1	24	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	29	3.276	[(None, 0.0), (29, 2.055), (29, 3.276)]	14.1962602569	333.096601469	965.849246694	344.183158592	2019_Feb_19_1009	Sound Switch 12-20-2018	318-laptop	bpl	OO
