Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
38	beautiful	1	1	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	29	4.254	[(None, 0.0), (29, 3.415), (29, 4.254)]	15.1870448396	15.187707825	1818.18737949	62.6559947625	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	2	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	32	2.883	[(None, 0.0), (32, 2.041), (32, 2.883)]	13.8728553728	29.0654929166	1832.06516498	76.5337798541	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	3	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	33	3.992	[(None, 0.0), (33, 2.117), (33, 3.992)]	15.0105192621	44.0808518137	1847.08052309	91.5491387512	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	4	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	37	3.458	[(None, 0.0), (37, 2.586), (37, 3.458)]	14.3710343362	58.4564452606	1861.45611653	105.924732198	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	5	0.3	3	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_03.mp3	34	3.414	[(None, 0.0), (34, 2.727), (34, 3.414)]	14.3709975914	72.8382256489	1875.83789732	120.306512191	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	6	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	33	2.83	[(None, 0.0), (33, 2.019), (33, 2.83)]	13.7443867504	86.586770084	1889.58644136	134.055056231	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	7	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	26	3.347	[(None, 0.0), (26, 2.761), (26, 3.347)]	14.2630246198	100.853738637	1903.8534103	148.322025179	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	8	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	23	2.946	[(None, 0.0), (23, 2.219), (23, 2.946)]	13.861724884	114.720403907	1917.72007637	162.18869124	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	9	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	30	2.967	[(None, 0.0), (30, 2.286), (30, 2.966)]	13.9102903386	128.635701405	1931.63537307	176.103987553	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	10	0.9	16	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_16.mp3	10	3.473	[(None, 0.0), (10, 2.071), (10, 3.473)]	14.402816937	143.043148967	1946.04282064	190.511435905	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	11	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	10	2.258	[(None, 0.0), (10, 1.515), (10, 2.258)]	13.1648336452	156.216710075	1959.21638174	203.684997803	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	12	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	37	4.223	[(None, 0.0), (33, 2.113), (37, 3.352), (37, 4.223)]	15.1614890856	171.38299494	1974.38266661	218.851281877	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	13	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	16	2.484	[(None, 0.0), (16, 1.794), (16, 2.484)]	13.4097715664	184.806518513	1987.80619097	232.274805846	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	14	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	24	3.186	[(None, 0.0), (24, 2.6), (24, 3.186)]	14.1370095963	198.948530132	2001.9482022	246.41681786	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	15	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	53	3.449	[(None, 0.0), (53, 2.125), (53, 3.449)]	14.3791185693	213.332515994	2016.33218727	260.800802141	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	16	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	30	4.719	[(None, 0.0), (30, 4.07), (30, 4.719)]	15.7712759821	229.108432873	2032.10810415	276.576719021	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	17	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	43	2.501	[(None, 0.0), (43, 1.841), (43, 2.501)]	13.438207237	242.550144687	2045.54981636	290.01843202	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	18	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	39	3.627	[(None, 0.0), (39, 3.052), (39, 3.627)]	14.5722571056	257.126306215	2060.12597828	304.594593153	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	19	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	35	2.546	[(None, 0.0), (35, 1.85), (35, 2.546)]	13.4816920429	270.612168191	2073.61184025	318.080455129	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	20	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	17	2.502	[(None, 0.0), (17, 1.657), (17, 2.502)]	13.4359709456	284.051998913	2087.05167137	331.52028585	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	21	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	29	2.826	[(None, 0.0), (29, 2.114), (29, 2.826)]	13.7534666469	297.810245534	2100.8099172	345.278532866	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	22	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	18	2.133	[(None, 0.0), (18, 1.514), (18, 2.133)]	13.0812880091	310.896716128	2113.89638819	358.365003066	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
38	beautiful	1	23	0.4	19	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_19.mp3	34	2.202	[(None, 0.0), (34, 1.589), (34, 2.202)]	13.1283994791	324.033334966	2127.03300663	371.501621509	2019_Mar_04_1024	Sound Switch 12-20-2018	318-laptop	bpl	NAS
