Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
41	patterned	1	1	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	60	8.084	[(None, 0.0), (61, 4.084), (60, 4.133), (60, 8.084)]	18.9908310275	18.9914110522	638.21806516	38.1273758587	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	2	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	67	3.727	[(None, 0.0), (67, 1.915), (67, 3.727)]	14.6519615145	33.6486315093	652.875285222	52.7845959208	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	3	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	58	7.988	[(None, 0.0), (58, 5.379), (58, 7.988)]	18.9105560927	52.5646267158	671.791280823	71.7005915224	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	4	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	100	2.672	[(None, 0.0), (99, 1.286), (100, 1.524), (100, 2.672)]	13.5738940712	66.1422336559	685.368887763	85.2781980673	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	5	0.2	1	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_01.mp3	74	9.44	[(None, 0.0), (81, 2.971), (75, 6.984), (73, 7.705), (72, 7.72), (71, 7.751), (70, 7.767), (69, 7.782), (68, 7.798), (67, 7.829), (68, 8.016), (69, 8.188), (70, 8.598), (71, 8.629), (72, 8.66), (73, 8.691), (74, 8.831), (74, 9.44)]	20.3487216344	86.4948096093	705.721464112	105.630775206	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	6	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	78	3.857	[(None, 0.0), (74, 2.037), (79, 2.698), (78, 2.76), (78, 3.857)]	14.772403155	101.277791892	720.504445604	120.413755118	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	7	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	43	2.104	[(None, 0.0), (43, 0.937), (43, 2.104)]	13.0072586052	114.288338621	733.514992728	133.424303427	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	8	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	57	5.383	[(None, 0.0), (59, 3.186), (53, 4.144), (57, 5.052), (57, 5.383)]	16.3093574015	130.602755828	749.829409936	149.738720635	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	9	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	100	1.938	[(None, 0.0), (97, 0.889), (98, 1.001), (99, 1.059), (100, 1.075), (100, 1.938)]	12.8450109387	143.451716308	762.678370415	162.587681114	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
41	patterned	1	10	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	78	1.702	[(None, 0.0), (86, 0.721), (78, 1.13), (78, 1.702)]	12.6429146317	156.099389275	775.326043383	175.235354082	2019_Mar_05_1352	Sound Switch 12-20-2018	318-laptop	bpl	EB
