Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
39	patterned	1	1	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	39	5.802	[(None, 0.0), (39, 4.27), (39, 5.802)]	16.6379856076	16.6384486791	645.312864022	28.693103357	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	2	0.6	3	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_03.mp3	35	3.76	[(None, 0.0), (35, 2.12), (35, 3.76)]	14.6871869477	31.329970007	660.004384955	43.3846242898	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	3	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	41	3.209	[(None, 0.0), (40, 1.755), (41, 1.804), (41, 3.209)]	14.1352302931	45.4711874345	674.145601987	57.5258413222	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	4	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	54	2.835	[(None, 0.0), (54, 2.068), (54, 2.835)]	13.7451491094	59.2201663659	687.894580918	71.2748202536	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	5	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	62	1.945	[(None, 0.0), (62, 1.286), (62, 1.945)]	12.8746147163	72.0986915071	700.773106455	84.1533457899	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	6	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	55	8.689	[(None, 0.0), (54, 0.851), (55, 4.601), (55, 8.689)]	19.5944659803	91.6970718634	720.371486811	103.751726146	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	7	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	62	2.017	[(None, 0.0), (62, 1.187), (62, 2.016)]	12.9477523453	104.647668621	733.322083964	116.702323299	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	8	0.7	3	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_03.mp3	68	1.78	[(None, 0.0), (68, 1.168), (68, 1.779)]	12.7051116054	117.356788639	746.031203982	129.411444107	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	9	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	43	4.694	[(None, 0.0), (43, 2.787), (43, 4.694)]	15.6048080407	132.965395683	761.639810631	145.020050756	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
39	patterned	1	10	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	47	2.529	[(None, 0.0), (47, 1.964), (47, 2.529)]	13.4578156541	146.428273514	775.102688462	158.482927797	2019_Mar_05_0856	Sound Switch 12-20-2018	318-laptop	bpl	SYG
