Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
47	patterned	1	1	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	80	3.057	[(None, 0.0), (77, 1.728), (80, 2.275), (80, 3.057)]	13.9188498824	13.9192058716	13699.8497015	27.3303247443	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	2	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	88	4.276	[(None, 0.0), (88, 3.664), (88, 4.276)]	15.194305675	29.1187506322	13715.0492458	42.5298695049	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	3	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	45	4.167	[(None, 0.0), (45, 3.585), (45, 4.167)]	15.0890569488	44.2128957367	13730.1433913	57.6240150045	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	4	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	99	2.733	[(None, 0.0), (99, 1.607), (99, 2.733)]	13.6472325301	57.863857263	13743.7943525	71.2749761357	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	5	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	100	2.128	[(None, 0.0), (100, 1.423), (100, 2.128)]	13.0474058229	70.9164670072	13756.8469622	84.3275858799	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	6	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	96	2.793	[(None, 0.0), (96, 2.056), (96, 2.793)]	13.7145812525	84.6357614612	13770.566257	98.0468803339	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	7	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	88	3.416	[(None, 0.0), (88, 2.709), (88, 3.416)]	14.3395571511	98.9803060163	13784.9108016	112.391425284	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	8	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	74	3.742	[(None, 0.0), (74, 1.616), (74, 3.742)]	14.6666787832	113.651699977	13799.5821956	127.06281964	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	9	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	34	1.637	[(None, 0.0), (34, 1.179), (34, 1.637)]	12.6225404745	126.277990388	13812.2084856	139.689109261	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	10	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	82	3.742	[(None, 0.0), (84, 1.087), (82, 3.149), (82, 3.742)]	14.6578043411	140.964450473	13826.8949457	154.375569346	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	11	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	29	3.618	[(None, 0.0), (29, 2.943), (29, 3.618)]	14.5256090931	155.493937517	13841.4244331	168.905056784	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	12	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	73	3.138	[(None, 0.0), (73, 2.588), (73, 3.138)]	14.0471067288	169.544745584	13855.4752412	182.955865642	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	13	0.7	1	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_01.mp3	90	2.04	[(None, 0.0), (90, 1.506), (90, 2.039)]	12.9492468518	182.497740002	13868.4282356	195.908859665	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	14	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	45	3.959	[(None, 0.0), (48, 2.223), (45, 3.568), (45, 3.959)]	14.8661615124	197.36902602	13883.2995224	210.780146473	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	15	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	94	2.468	[(None, 0.0), (94, 1.762), (94, 2.468)]	13.3767210752	210.74964085	13896.680136	224.160759723	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	16	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	83	2.679	[(None, 0.0), (82, 2.16), (83, 2.21), (83, 2.679)]	13.582505326	224.337182573	13910.2676778	237.748301446	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	17	0.5	0	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_00.mp3	49	3.234	[(None, 0.0), (49, 2.637), (49, 3.234)]	14.1497145765	238.492069067	13924.4225647	251.90318794	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	18	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	22	3.216	[(None, 0.0), (22, 2.432), (22, 3.216)]	14.1378701339	252.634640945	13938.5651365	266.045760213	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	19	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	30	2.808	[(None, 0.0), (30, 2.43), (30, 2.807)]	13.7312147567	266.37055863	13952.3010538	279.781677503	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	20	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	42	5.916	[(None, 0.0), (42, 4.851), (42, 5.916)]	16.82257635	283.197828427	13969.1283236	296.608947299	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	21	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	71	1.183	[(None, 0.0), (71, 0.619), (71, 1.183)]	12.1063550188	295.308410273	13981.2389055	308.719529541	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	22	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	100	1.697	[(None, 0.0), (100, 0.945), (100, 1.697)]	12.6137395218	307.933905339	13993.8644005	321.345024212	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	23	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	55	4.116	[(None, 0.0), (55, 3.394), (55, 4.116)]	15.0423405832	322.981128624	14008.9116242	336.392247892	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
47	patterned	1	24	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	46	3.054	[(None, 0.0), (46, 2.677), (46, 3.054)]	13.9787303396	336.964584808	14022.89508	350.375703681	2019_Mar_28_1203	Sound Switch 12-20-2018	318-laptop	bpl	AC
