Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
54	beautiful	1	1	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	21	3.948	[(None, 0.0), (21, 2.118), (21, 3.948)]	14.8379971284	14.8382772564	4538.00397948	30.1352496616	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	2	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	9	2.62	[(None, 0.0), (11, 1.321), (9, 1.792), (9, 2.62)]	13.554112903	28.3976454236	4551.56334764	43.6946174337	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	3	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	8	1.768	[(None, 0.0), (8, 1.186), (8, 1.768)]	12.6879121418	41.0894248329	4564.25512705	56.3863972381	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	4	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	42	2.607	[(None, 0.0), (45, 1.23), (42, 1.92), (42, 2.607)]	13.5379693922	54.6322310752	4577.7979329	69.9292034804	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	5	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	52	2.559	[(None, 0.0), (57, 0.947), (52, 2.058), (52, 2.559)]	13.4847087262	68.1213455942	4591.287049	83.4183199749	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	6	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	51	1.461	[(None, 0.0), (51, 1.005), (51, 1.461)]	12.3851099927	80.5116504003	4603.67735262	95.8086228055	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	7	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	17	4.01	[(None, 0.0), (16, 1.432), (22, 2.699), (17, 3.307), (17, 4.01)]	14.9346559009	95.450047926	4618.61575133	110.747021121	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	8	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	48	2.461	[(None, 0.0), (51, 1.162), (48, 1.836), (48, 2.461)]	13.3866556354	108.841426227	4632.00712845	124.138398237	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	9	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	51	1.889	[(None, 0.0), (51, 1.231), (51, 1.889)]	12.8140993273	121.660248219	4644.82595083	136.957221415	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	10	0.4	1	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_01.mp3	51	1.699	[(None, 0.0), (51, 1.165), (51, 1.699)]	12.6252594839	134.290278571	4657.45598079	149.587250581	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	11	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	17	1.089	[(None, 0.0), (17, 0.508), (17, 1.089)]	12.0141103112	146.309947586	4669.47565099	161.606921966	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	12	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	50	3.009	[(None, 0.0), (47, 0.992), (50, 2.447), (50, 3.009)]	13.942720742	160.25991175	4683.42561397	175.556884155	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	13	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	20	3.006	[(None, 0.0), (19, 1.129), (20, 2.334), (20, 3.006)]	13.9401980098	174.20527494	4697.37097677	189.502246555	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	14	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	49	1.726	[(None, 0.0), (49, 1.207), (49, 1.726)]	12.6524002898	186.862410934	4710.02811315	202.159383339	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	15	0.8	6	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_06.mp3	50	1.788	[(None, 0.0), (50, 1.115), (50, 1.788)]	12.7133445226	199.580497087	4722.74619891	214.877468702	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
54	beautiful	1	16	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	15	2.078	[(None, 0.0), (15, 1.483), (15, 2.078)]	12.9975144074	212.583282563	4735.74898439	227.880254573	2019_Mar_19_1445	Sound Switch 12-20-2018	318-laptop	bpl	EWM
