Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
61	patterned	1	1	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	76	2.81	[(None, 0.0), (76, 1.823), (76, 2.81)]	13.6747582041	13.6752149483	3068.82611281	29.8626539289	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	2	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	96	3.243	[(None, 0.0), (96, 1.368), (96, 3.243)]	14.1839596643	27.8646290711	3083.01552733	44.0520692371	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	3	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	63	4.111	[(None, 0.0), (63, 3.313), (63, 4.111)]	15.0320929988	42.9020473283	3098.05294598	59.0894874943	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	4	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	98	2.623	[(None, 0.0), (98, 1.637), (98, 2.623)]	13.5372256423	56.4420584783	3111.59295674	72.629497854	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	5	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	28	3.403	[(None, 0.0), (28, 2.089), (28, 3.403)]	14.3381890724	70.7856407675	3125.93653902	86.9730801432	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	6	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	94	3.837	[(None, 0.0), (94, 2.351), (94, 3.837)]	14.7588813243	85.5485834015	3140.69948166	101.736022777	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	7	0.3	2	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_02.mp3	81	2.448	[(None, 0.0), (81, 1.836), (81, 2.447)]	13.373583194	98.9268426923	3154.07774095	115.114283253	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	8	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	55	3.521	[(None, 0.0), (55, 1.704), (55, 3.521)]	14.4572871052	113.388270129	3168.53916839	129.575709504	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	9	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	81	5.761	[(None, 0.0), (76, 2.042), (81, 2.981), (81, 5.761)]	16.6980738906	130.091061207	3185.24195946	146.278500583	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	10	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	87	4.434	[(None, 0.0), (87, 3.789), (87, 4.434)]	15.3700066813	145.465979865	3200.61687773	161.65341924	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
61	patterned	1	11	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	27	1.984	[(None, 0.0), (27, 1.386), (27, 1.984)]	12.9114477251	158.382163743	3213.5330616	174.569602723	2019_Mar_21_1500	Sound Switch 12-20-2018	318-laptop	bpl	ZH
