Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
63	patterned	1	1	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	66	3.199	[(None, 0.0), (66, 2.557), (66, 3.199)]	14.1331185495	14.1337056885	8586.49795983	28.9922423375	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	2	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	78	2.263	[(None, 0.0), (78, 1.511), (78, 2.263)]	13.1724070762	27.311055242	8599.67530978	42.1695922861	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	3	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	97	3.446	[(None, 0.0), (97, 2.258), (97, 3.446)]	14.3571128567	41.6729628036	8614.03721734	56.5314994526	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	4	0.6	2	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_02.mp3	63	3.211	[(None, 0.0), (63, 2.163), (63, 3.211)]	14.120089675	55.7976915086	8628.16194605	70.6562289478	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	5	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	100	2.42	[(None, 0.0), (93, 1.013), (94, 1.141), (95, 1.202), (96, 1.249), (97, 1.281), (98, 1.312), (99, 1.343), (100, 1.374), (100, 2.42)]	13.3465064244	69.1490009352	8641.51325587	84.0075383744	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	6	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	93	4.021	[(None, 0.0), (90, 1.49), (93, 3.177), (93, 4.021)]	14.9423205107	84.0950528998	8656.45930823	98.9535907341	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	7	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	72	2.77	[(None, 0.0), (72, 2.143), (72, 2.77)]	13.679601109	97.7793716665	8670.1436266	112.637909106	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	8	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	100	2.646	[(None, 0.0), (91, 1.177), (92, 1.351), (93, 1.398), (94, 1.429), (95, 1.46), (96, 1.475), (97, 1.522), (98, 1.538), (99, 1.585), (100, 1.616), (100, 2.646)]	13.5793718245	111.363646062	8683.7279006	126.222183106	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	9	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	97	3.584	[(None, 0.0), (96, 1.569), (97, 2.383), (97, 3.584)]	14.4914736437	125.860080358	8698.2243345	140.718617402	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	10	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	77	2.555	[(None, 0.0), (76, 1.741), (77, 1.79), (77, 2.555)]	13.4661994052	139.330829498	8711.69508403	154.189366937	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	11	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	45	2.463	[(None, 0.0), (45, 1.477), (45, 2.463)]	13.3733504497	152.70884387	8725.07309801	167.567380123	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	12	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	89	3.034	[(None, 0.0), (89, 1.44), (89, 3.034)]	13.9498415001	166.704459688	8739.06871383	181.562996732	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	13	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	59	3.382	[(None, 0.0), (59, 2.583), (59, 3.382)]	14.2888561735	180.997072603	8753.36132674	195.855609647	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
63	patterned	1	14	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	75	2.151	[(None, 0.0), (75, 1.462), (75, 2.15)]	13.0514027129	194.052283816	8766.41653835	208.910821256	2019_Mar_22_1151	Sound Switch 12-20-2018	318-laptop	bpl	MT
