Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
64	beautiful	1	1	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	68	4.037	[(None, 0.0), (68, 3.098), (68, 4.037)]	14.9377082201	14.938169307	2269.03402126	29.1883139153	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	2	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	53	2.606	[(None, 0.0), (53, 1.808), (53, 2.606)]	13.528410384	28.4718701402	2282.5677221	42.7220139583	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	3	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	41	3.335	[(None, 0.0), (41, 2.442), (41, 3.334)]	14.2580419569	42.7339745616	2296.82982652	56.9841187747	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	4	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	36	3.23	[(None, 0.0), (36, 2.167), (36, 3.23)]	14.1515482565	56.8907180471	2310.98657435	71.1408670015	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	5	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	52	2.938	[(None, 0.0), (52, 2.373), (52, 2.938)]	13.8858329751	70.7803602247	2324.87621179	85.0305040427	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	6	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	56	2.581	[(None, 0.0), (56, 1.615), (56, 2.581)]	13.4917885432	84.2758817152	2338.37173367	98.5260255332	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	7	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	50	3.941	[(None, 0.0), (50, 1.971), (50, 3.941)]	14.8573641157	99.1454715493	2353.2413239	113.395615762	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	8	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	31	1.951	[(None, 0.0), (31, 1.278), (31, 1.951)]	12.8739233402	112.02444551	2366.12029747	126.274589723	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	9	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	25	2.052	[(None, 0.0), (25, 1.347), (25, 2.052)]	12.9749855392	125.004339038	2379.10019099	139.254482856	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	10	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	50	1.929	[(None, 0.0), (50, 1.286), (50, 1.929)]	12.853111606	137.861969849	2391.9578218	152.112113667	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	11	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	58	3.373	[(None, 0.0), (58, 2.09), (58, 3.372)]	14.2952165489	152.162189211	2406.25804117	166.412333029	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	12	0.7	3	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_03.mp3	54	3.832	[(None, 0.0), (58, 2.066), (54, 3.239), (54, 3.832)]	14.7553169212	166.922902074	2421.01875443	181.173046682	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	13	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	50	2.061	[(None, 0.0), (50, 1.497), (50, 2.061)]	12.9839034428	179.911874708	2434.00772666	194.162018921	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
64	beautiful	1	14	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	54	1.993	[(None, 0.0), (54, 1.288), (54, 1.993)]	12.917075073	192.832754637	2446.92860659	207.082898455	2019_Mar_25_0844	Sound Switch 12-20-2018	318-laptop	bpl	SL
