Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
70	beautiful	1	1	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	27	2.477	[(None, 0.0), (27, 1.6), (27, 2.477)]	13.3971600466	13.3978510895	14952.380063	26.2627369805	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	2	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	14	5.82	[(None, 0.0), (27, 2.039), (14, 5.087), (14, 5.82)]	16.7446230813	30.1475564381	14969.1297687	43.0124431193	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	3	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	28	1.851	[(None, 0.0), (28, 1.209), (28, 1.851)]	12.7743572886	42.9269624099	14981.9091755	55.7918494862	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	4	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	16	1.368	[(None, 0.0), (16, 0.803), (16, 1.368)]	12.2755443889	55.2061706303	14994.1883833	68.0710573115	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	5	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	26	1.695	[(None, 0.0), (26, 1.131), (26, 1.695)]	12.6193874491	67.8304823037	15006.8126946	80.6953685898	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	6	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	39	2.669	[(None, 0.0), (39, 2.15), (39, 2.669)]	13.5966260983	81.4302751884	15020.4124882	94.2951622647	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	7	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	19	1.896	[(None, 0.0), (19, 0.881), (19, 1.896)]	12.818868515	94.2541173161	15033.2363296	107.119003997	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	8	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	16	3.059	[(None, 0.0), (16, 2.276), (16, 3.059)]	13.9603786236	108.219398433	15047.2016107	121.084284719	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	9	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	32	2.704	[(None, 0.0), (32, 2.232), (32, 2.704)]	13.6229043006	121.846217854	15060.8284301	134.711104535	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	10	0.8	5	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_05.mp3	16	1.904	[(None, 0.0), (16, 0.869), (16, 1.904)]	12.8293155514	134.680499116	15073.6627114	147.545385797	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	11	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	45	1.498	[(None, 0.0), (45, 0.903), (45, 1.498)]	12.4246496483	147.1089576	15086.0911703	159.973844281	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	12	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	8	3.544	[(None, 0.0), (4, 0.98), (8, 2.591), (8, 3.544)]	14.4664243604	161.581197152	15100.5634102	174.446084228	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	13	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	18	2.007	[(None, 0.0), (18, 1.38), (18, 2.007)]	12.9316270486	174.517607767	15113.4998204	187.382494448	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	14	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	14	1.523	[(None, 0.0), (14, 0.896), (14, 1.523)]	12.4345696114	186.983834968	15125.9660476	199.84872165	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	15	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	30	1.312	[(None, 0.0), (30, 0.779), (30, 1.312)]	12.2377539405	199.22646493	15138.2086772	212.091351216	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	16	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	61	1.837	[(None, 0.0), (61, 1.21), (61, 1.837)]	12.7607715184	211.991469235	15150.9736815	224.856355521	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
70	beautiful	1	17	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	61	1.774	[(None, 0.0), (61, 1.053), (61, 1.774)]	12.6994306897	224.694844282	15163.6770565	237.559730568	2019_Mar_27_1141	Sound Switch 12-20-2018	318-laptop	bpl	JW
