Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
72	beautiful	1	1	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	81	4.2	[(None, 0.0), (72, 2.25), (81, 3.311), (81, 4.2)]	15.0991494981	15.0998824169	982.548909196	28.8862984082	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	2	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	52	2.683	[(None, 0.0), (57, 0.94), (52, 1.285), (52, 2.683)]	13.5998859728	28.7053816393	996.154408813	42.4917980257	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	3	0.1	10	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_10.mp3	44	2.201	[(None, 0.0), (44, 1.622), (44, 2.201)]	13.1209130391	41.8311220652	1009.28014884	55.6175376614	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	4	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	63	1.932	[(None, 0.0), (63, 0.821), (63, 1.932)]	12.8516963416	54.6865426618	1022.13556944	68.4729586531	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	5	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	52	1.501	[(None, 0.0), (52, 1.077), (52, 1.501)]	12.4244801215	67.1159078553	1034.56493463	80.9023242417	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	6	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	38	1.859	[(None, 0.0), (38, 0.764), (38, 1.859)]	12.7678875659	79.9366003471	1047.38562713	93.7230163384	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	7	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	41	1.646	[(None, 0.0), (41, 1.188), (41, 1.646)]	12.5595043177	92.5000173846	1059.94904416	106.286432981	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	8	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	55	1.515	[(None, 0.0), (55, 0.934), (55, 1.515)]	12.4313873383	104.936103306	1072.38513008	118.722519297	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	9	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	50	1.325	[(None, 0.0), (50, 0.892), (50, 1.324)]	12.2471382581	117.188334461	1084.63736163	130.974750847	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	10	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	27	1.913	[(None, 0.0), (26, 0.756), (27, 0.82), (27, 1.912)]	12.8363674725	130.029419876	1097.47844744	143.815837448	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	11	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	41	1.929	[(None, 0.0), (41, 1.302), (41, 1.929)]	12.851440709	142.885607766	1110.33463494	156.672024152	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	12	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	7	1.102	[(None, 0.0), (7, 0.553), (7, 1.102)]	12.0285170622	154.918998837	1122.36802562	168.705414828	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	13	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	18	1.15	[(None, 0.0), (18, 0.569), (18, 1.15)]	12.0730093845	166.99670878	1134.44573595	180.783124771	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	14	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	31	1.252	[(None, 0.0), (31, 0.646), (31, 1.252)]	12.1746729325	179.176092148	1146.62511932	192.962508534	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	15	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	40	1.062	[(None, 0.0), (40, 0.622), (40, 1.062)]	11.9838935652	191.164721831	1158.613749	204.951138217	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	16	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	28	1.17	[(None, 0.0), (28, 0.481), (28, 1.17)]	12.0814535578	203.251096415	1170.70012319	217.037512406	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
72	beautiful	1	17	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	39	2.288	[(None, 0.0), (39, 1.895), (39, 2.288)]	13.210046243	216.466225677	1183.91525246	230.252641669	2019_Mar_28_0858	Sound Switch 12-20-2018	318-laptop	bpl	NRC
