Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
76	beautiful	1	1	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	35	2.725	[(None, 0.0), (35, 2.113), (35, 2.724)]	13.6474804482	13.6480584883	1597.03558523	27.1411646778	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	2	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	24	2.822	[(None, 0.0), (24, 2.117), (24, 2.822)]	13.7453790371	27.3974845968	1610.78501094	40.8905899961	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	3	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	12	1.96	[(None, 0.0), (12, 1.193), (12, 1.96)]	12.882476098	40.2849809124	1623.67250805	53.7780867068	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	4	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	24	2.746	[(None, 0.0), (24, 1.963), (24, 2.745)]	13.670066686	53.9587434205	1637.34627213	67.4518527708	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	5	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	24	2.898	[(None, 0.0), (24, 1.991), (24, 2.898)]	13.814312796	67.7976073167	1651.18513445	81.2907135062	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	6	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	40	2.214	[(None, 0.0), (40, 1.696), (40, 2.214)]	13.1360685999	80.9377948973	1664.32532164	94.4309006917	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	7	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	27	2.585	[(None, 0.0), (27, 1.911), (27, 2.585)]	13.5080313208	94.4504746409	1677.83800217	107.943581226	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	8	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	32	3.134	[(None, 0.0), (32, 2.539), (32, 3.134)]	14.041142789	108.496372926	1691.88390006	121.989479116	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	9	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	36	2.35	[(None, 0.0), (36, 1.739), (36, 2.35)]	13.2724200957	121.773844848	1705.16137159	135.266950643	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	10	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	17	3.746	[(None, 0.0), (22, 2.304), (17, 3.139), (17, 3.746)]	14.6995736016	136.478293268	1719.86582001	149.971399063	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	11	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	41	4.318	[(None, 0.0), (33, 2.146), (41, 3.475), (41, 4.318)]	15.2392066903	151.722132972	1735.10966011	165.215239557	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	12	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	26	3.034	[(None, 0.0), (26, 2.255), (26, 3.034)]	13.9556331456	165.682451681	1749.06997842	179.175558265	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	13	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	20	2.971	[(None, 0.0), (20, 2.11), (20, 2.971)]	13.8937137046	179.580828427	1762.96835477	193.073934221	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	14	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	29	2.525	[(None, 0.0), (29, 1.914), (29, 2.525)]	13.4630793144	193.048600416	1776.43612755	206.541706605	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	15	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	28	3.208	[(None, 0.0), (28, 2.456), (28, 3.208)]	14.1307891927	207.183092147	1790.57062086	220.676201498	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
76	beautiful	1	16	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	26	2.404	[(None, 0.0), (26, 1.918), (26, 2.404)]	13.3399891583	220.527892512	1803.91542004	234.020999097	2019_Apr_02_0838	Sound Switch 12-20-2018	318-laptop	bpl	GH
