Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
77	patterned	1	1	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	65	4.162	[(None, 0.0), (65, 3.223), (65, 4.162)]	15.0756873067	15.0763052526	949.481466365	36.3446774868	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	2	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	68	6.154	[(None, 0.0), (77, 2.798), (67, 5.374), (68, 5.42), (68, 6.154)]	17.0736390769	32.1549914143	966.560152922	53.4233640436	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	3	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	60	5.374	[(None, 0.0), (60, 3.889), (60, 5.374)]	16.2872922829	48.4468420358	982.852003543	69.7152150602	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	4	0.7	12	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_12.mp3	82	2.443	[(None, 0.0), (82, 1.754), (82, 2.443)]	13.3774321741	61.8282944141	996.233455131	83.0966662531	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	5	0.4	2	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_02.mp3	55	2.829	[(None, 0.0), (55, 2.094), (55, 2.829)]	13.742100447	75.575267309	1009.98042803	96.8436395432	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	6	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	69	3.507	[(None, 0.0), (69, 2.677), (69, 3.507)]	14.4373120777	90.0178279756	1024.42298948	111.286201395	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	7	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	54	3.861	[(None, 0.0), (54, 3.031), (54, 3.861)]	14.784327407	104.805850019	1039.21101153	126.074222649	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	8	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	83	4.525	[(None, 0.0), (83, 3.353), (83, 4.525)]	15.4457385046	120.256736756	1054.66189787	141.52510899	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	9	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	71	5.422	[(None, 0.0), (71, 4.686), (71, 5.422)]	16.3318460224	136.631841755	1071.03700326	157.90021478	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	10	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	91	4.018	[(None, 0.0), (90, 3.001), (91, 3.113), (91, 4.018)]	14.9275735036	151.56310713	1085.96826864	172.831479759	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	11	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	73	3.069	[(None, 0.0), (73, 2.349), (73, 3.069)]	14.008169608	165.574986784	1099.98014869	186.843360203	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	12	0.5	4	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_04.mp3	57	5.439	[(None, 0.0), (57, 2.425), (59, 3.972), (57, 4.487), (57, 5.439)]	16.3457924761	181.925448623	1116.33060974	203.193820857	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
77	patterned	1	13	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	52	4.177	[(None, 0.0), (49, 2.177), (50, 2.226), (52, 3.459), (52, 4.177)]	15.0823875153	197.012626799	1131.41778831	218.280999824	2019_Apr_02_1348	Sound Switch 12-20-2018	318-laptop	bpl	HR
