Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
78	beautiful	1	1	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	35	5.124	[(None, 0.0), (35, 4.201), (35, 5.124)]	16.0164110604	16.016765074	515.411457082	35.4742700049	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	2	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	52	3.147	[(None, 0.0), (52, 1.256), (52, 3.147)]	14.0754143856	30.0964386861	529.491129904	49.5539432219	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	3	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	61	1.962	[(None, 0.0), (61, 1.039), (61, 1.962)]	12.8983163017	43.0005476148	542.395239228	62.4580521506	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	4	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	65	3.561	[(None, 0.0), (65, 2.699), (65, 3.561)]	14.4861385489	57.490403702	556.88509571	76.9479086329	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	5	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	65	5.456	[(None, 0.0), (65, 4.314), (65, 5.456)]	16.3947899941	73.8887433148	573.283434928	93.3462478506	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	6	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	16	2.93	[(None, 0.0), (16, 1.773), (16, 2.93)]	13.8675728257	87.7599262103	587.154617428	107.217429956	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	7	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	42	2.461	[(None, 0.0), (42, 1.351), (42, 2.461)]	13.3813809376	101.146600758	600.541292766	120.604106084	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	8	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	29	2.477	[(None, 0.0), (29, 1.398), (29, 2.477)]	13.4195733188	114.569207294	613.963898907	134.02671183	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	9	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	33	4.493	[(None, 0.0), (33, 3.241), (33, 4.493)]	15.4168802865	129.989704762	629.384396375	149.447209298	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
78	beautiful	1	10	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	48	1.974	[(None, 0.0), (48, 1.362), (48, 1.973)]	12.9191722877	142.911776722	642.306468335	162.369280862	2019_Apr_03_0906	Sound Switch 12-20-2018	318-laptop	bpl	JPR
