Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
82	beautiful	1	1	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	16	2.248	[(None, 0.0), (16, 1.433), (16, 2.248)]	13.169838166	13.1704391316	8839.0747971	28.4602855001	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	2	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	51	4.073	[(None, 0.0), (51, 2.227), (51, 4.073)]	14.9959560272	28.171310749	8854.07566911	43.461158698	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	3	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	23	1.757	[(None, 0.0), (23, 1.021), (23, 1.757)]	12.6809959355	40.8571136188	8866.76147159	56.1469603825	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	4	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	43	2.276	[(None, 0.0), (43, 1.477), (43, 2.276)]	13.2012057242	54.0629903589	8879.96734833	69.3528371225	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	5	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	19	2.404	[(None, 0.0), (19, 1.683), (19, 2.404)]	13.3312430584	67.3990988282	8893.3034568	82.6889451968	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	6	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	62	5.897	[(None, 0.0), (61, 1.129), (73, 2.914), (62, 3.429), (62, 5.897)]	16.8068008283	84.2095366638	8910.11389463	99.4993830324	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	7	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	40	2.15	[(None, 0.0), (40, 1.226), (40, 2.15)]	13.075071703	97.289400682	8923.19375865	112.579247841	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	8	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	4	1.916	[(None, 0.0), (4, 1.209), (4, 1.916)]	12.8408468518	110.135313662	8936.03967124	125.425159635	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	9	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	57	5.585	[(None, 0.0), (57, 1.695), (57, 5.585)]	16.4927317145	126.632706909	8952.53706527	141.922554068	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	10	0.8	6	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_06.mp3	46	2.798	[(None, 0.0), (27, 0.998), (46, 1.984), (46, 2.798)]	13.7204846288	140.360124966	8966.26448293	155.64997173	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	11	0.4	10	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_10.mp3	41	5.508	[(None, 0.0), (20, 0.915), (28, 1.698), (34, 4.227), (41, 4.899), (41, 5.508)]	16.4324320694	156.79729364	8982.70165161	172.087140008	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	12	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	57	2.388	[(None, 0.0), (57, 0.838), (57, 2.388)]	13.3020490121	170.104281949	8996.00864031	185.394129108	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	13	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	51	2.929	[(None, 0.0), (55, 1.037), (51, 2.179), (51, 2.929)]	13.8509040363	183.958405754	9009.86276372	199.248252123	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	14	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	16	1.682	[(None, 0.0), (16, 0.993), (16, 1.682)]	12.6062482245	196.569411129	9022.4737691	211.859258288	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	15	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	38	2.584	[(None, 0.0), (30, 0.847), (38, 1.802), (38, 2.583)]	13.4988733377	210.072961409	9035.97731938	225.362807778	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	16	0.6	3	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_03.mp3	60	3.418	[(None, 0.0), (60, 2.696), (60, 3.418)]	14.3349784486	224.413050633	9050.3174086	239.702897002	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	17	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	54	4.086	[(None, 0.0), (57, 1.056), (54, 3.555), (54, 4.086)]	15.010597698	239.428390862	9065.33274962	254.718238021	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	18	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	8	1.577	[(None, 0.0), (8, 0.854), (8, 1.576)]	12.4999484379	251.932207843	9077.83656581	267.222054212	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	19	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	57	5.664	[(None, 0.0), (65, 1.116), (61, 2.883), (54, 4.368), (57, 4.991), (57, 5.664)]	16.5874835584	268.524081493	9094.42843946	283.813928256	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	20	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	18	1.929	[(None, 0.0), (18, 1.098), (18, 1.929)]	12.8540214712	281.3828289	9107.28718647	296.672674874	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	21	0.8	5	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_05.mp3	61	1.887	[(None, 0.0), (61, 1.29), (61, 1.887)]	12.8107958072	294.212896698	9120.11725506	309.502743856	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	22	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	35	5.356	[(None, 0.0), (14, 1.559), (25, 3.279), (26, 3.341), (34, 4.731), (35, 4.809), (35, 5.356)]	16.2773659612	310.493338607	9136.39769658	325.78318537	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	23	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	36	3.294	[(None, 0.0), (36, 1.98), (36, 3.294)]	14.2387342661	324.737065905	9150.64142387	340.026912669	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	24	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	66	1.7	[(None, 0.0), (66, 1.025), (66, 1.7)]	12.623933049	337.365685379	9163.27004374	352.655532143	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	25	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	39	4.152	[(None, 0.0), (23, 2.884), (39, 3.464), (39, 4.152)]	15.0554429266	352.430790773	9178.33514914	367.720637537	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	26	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	75	3.569	[(None, 0.0), (77, 1.161), (74, 1.664), (76, 2.241), (75, 2.757), (75, 3.569)]	14.5065961997	366.941189533	9192.84554711	382.231035901	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	27	0.3	6	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_06.mp3	76	2.679	[(None, 0.0), (76, 1.894), (76, 2.679)]	13.5911869445	380.537120984	9206.44147935	395.826968143	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	28	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	47	2.759	[(None, 0.0), (55, 1.287), (47, 1.946), (47, 2.758)]	13.6826135246	394.22442449	9220.12878246	409.514271253	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	29	0.3	12	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_12.mp3	27	4.7	[(None, 0.0), (43, 1.886), (37, 2.513), (27, 4.075), (27, 4.7)]	15.6238504706	409.852985487	9235.75734306	425.142832251	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	30	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	15	3.187	[(None, 0.0), (15, 2.169), (15, 3.187)]	14.0969107367	423.954113651	9249.85847162	439.243960415	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	31	0.5	17	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_17.mp3	41	1.953	[(None, 0.0), (41, 1.347), (41, 1.953)]	12.8691285841	436.851966888	9262.75632486	452.141813257	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	32	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	52	9.863	[(None, 0.0), (45, 1.443), (37, 2.477), (28, 5.709), (36, 6.178), (49, 7.442), (52, 8.161), (52, 9.863)]	20.7741653552	457.631059687	9283.53541766	472.920906846	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	33	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	43	3.229	[(None, 0.0), (43, 2.227), (43, 3.229)]	14.1553537498	471.790340851	9297.69469882	487.08018722	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	34	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	23	1.2	[(None, 0.0), (23, 0.743), (23, 1.2)]	12.123409723	483.918661423	9309.82301979	499.208508582	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
82	beautiful	1	35	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	8	2.094	[(None, 0.0), (8, 1.232), (8, 2.094)]	13.0208322879	496.944148923	9322.8485065	512.233995291	2019_Apr_04_1154	Sound Switch 12-20-2018	318-laptop	bpl	NS
