Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
84	beautiful	1	1	0.5	17	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_17.mp3	58	2.77	[(None, 0.0), (58, 1.91), (58, 2.77)]	13.6831149219	13.6837522378	1760.79082012	32.8499771033	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	2	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	40	2.695	[(None, 0.0), (40, 1.912), (40, 2.695)]	13.5905334291	27.2795821452	1774.38665003	46.4458066155	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	3	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	46	2.384	[(None, 0.0), (46, 1.788), (46, 2.384)]	13.3007755656	40.5853017491	1787.69236924	59.7515262194	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	4	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	42	2.023	[(None, 0.0), (42, 1.317), (42, 2.022)]	12.9473050783	53.5363430079	1800.6434105	72.7025674782	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	5	0.1	5	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_05.mp3	59	1.974	[(None, 0.0), (59, 1.285), (59, 1.974)]	12.8998884598	66.4398309394	1813.54689843	85.6060550146	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	6	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	41	2.02	[(None, 0.0), (41, 1.456), (41, 2.02)]	12.9509179838	79.3946719917	1826.50173948	98.5608956718	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	7	0.4	19	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_19.mp3	66	1.995	[(None, 0.0), (66, 1.352), (66, 1.995)]	12.8781533407	92.2758428038	1839.38291069	111.442067669	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	8	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	68	2.131	[(None, 0.0), (68, 1.364), (68, 2.131)]	13.0399059317	105.319634664	1852.42670255	124.485859529	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	9	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	76	1.733	[(None, 0.0), (76, 1.106), (76, 1.733)]	12.6754809601	118.00001778	1865.10708606	137.166242645	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
84	beautiful	1	10	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	77	1.865	[(None, 0.0), (77, 1.176), (77, 1.865)]	12.7894435517	130.79419359	1877.90126147	149.96041806	2019_Apr_04_1645	Sound Switch 12-20-2018	318-laptop	bpl	JL
