Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
43	patterned	1	1	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	70	6.821	[(None, 0.0), (52, 3.788), (68, 5.648), (70, 6.226), (70, 6.821)]	17.7750359846	17.7757969645	800.408318704	32.0515577766	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	2	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	98	4.697	[(None, 0.0), (97, 1.946), (98, 3.837), (98, 4.697)]	15.6204057217	33.4013477959	816.033869536	47.677108608	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	3	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	98	3.132	[(None, 0.0), (98, 2.021), (98, 3.132)]	14.0423062988	47.4474372636	830.079959003	61.7231984708	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	4	0.8	19	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_19.mp3	60	4.694	[(None, 0.0), (56, 3.302), (60, 4.178), (60, 4.694)]	15.6039095248	63.0553855928	845.687907333	77.3311460098	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	5	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	36	4.195	[(None, 0.0), (36, 3.271), (36, 4.195)]	15.1200139711	78.1808220401	860.813343385	92.4565828522	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	6	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	67	2.92	[(None, 0.0), (67, 2.277), (67, 2.92)]	13.8706247108	92.0562532522	874.688778548	106.332021571	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	7	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	77	2.649	[(None, 0.0), (77, 1.458), (77, 2.649)]	13.5731151225	105.634307238	888.266828977	119.910068445	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	8	0.7	15	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_15.mp3	20	2.149	[(None, 0.0), (20, 1.458), (20, 2.148)]	13.0564452752	118.695606032	901.328128167	132.971367239	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	9	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	91	2.427	[(None, 0.0), (91, 1.561), (91, 2.427)]	13.3949972086	132.095497851	914.728019591	146.371258268	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
43	patterned	1	10	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	90	1.971	[(None, 0.0), (90, 1.296), (90, 1.971)]	12.8969425278	144.997129138	927.629651273	159.27288995	2019_Mar_06_1537	Sound Switch 12-20-2018	318-laptop	bpl	ZLK
