Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
45	patterned	1	1	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	72	2.369	[(None, 0.0), (73, 1.427), (72, 1.492), (72, 2.369)]	13.2633371093	13.2639645474	1093.90432715	27.8148188391	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	2	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	66	3.274	[(None, 0.0), (68, 1.929), (67, 2.539), (66, 2.571), (66, 3.274)]	14.1975378982	27.4671007896	1108.107463	42.0179542911	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	3	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	85	2.051	[(None, 0.0), (85, 1.455), (85, 2.051)]	12.9771396014	40.4499039285	1121.09026574	55.0007590104	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	4	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	64	3.759	[(None, 0.0), (67, 2.287), (66, 2.868), (65, 3.024), (64, 3.134), (64, 3.759)]	14.6841074436	55.1384812758	1135.77884309	69.6893347773	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	5	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	71	3.718	[(None, 0.0), (68, 1.169), (65, 1.53), (64, 1.671), (63, 1.859), (64, 2.498), (65, 2.53), (66, 2.78), (67, 2.921), (68, 2.936), (69, 3.046), (70, 3.092), (71, 3.217), (71, 3.718)]	14.6413171933	69.7855485362	1150.42591114	84.3364036181	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	6	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	57	2.568	[(None, 0.0), (57, 1.878), (57, 2.568)]	13.4910078402	83.2822748345	1163.92263665	97.833128336	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	7	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	58	2.136	[(None, 0.0), (58, 1.634), (58, 2.136)]	13.0478061991	96.3789228216	1177.01928503	110.929776718	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	8	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	79	2.519	[(None, 0.0), (74, 1.282), (79, 1.956), (79, 2.518)]	13.4416259339	109.825484496	1190.4658467	124.376338393	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	9	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	57	1.793	[(None, 0.0), (57, 1.197), (57, 1.792)]	12.6982074157	122.52805474	1203.16841734	137.078909032	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
45	patterned	1	10	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	76	3.789	[(None, 0.0), (69, 1.32), (70, 1.79), (71, 1.852), (72, 2.024), (73, 2.368), (74, 2.571), (75, 3.163), (76, 3.29), (76, 3.789)]	14.714393975	137.247182554	1217.88754476	151.798036451	2019_Mar_07_1349	Sound Switch 12-20-2018	318-laptop	bpl	CP
