Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
48	beautiful	1	1	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	39	2.594	[(None, 0.0), (39, 1.638), (39, 2.594)]	13.5091541558	13.5096946692	713.720607114	26.5346863027	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	2	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	48	3.87	[(None, 0.0), (48, 3.165), (48, 3.87)]	14.7925151535	28.3068488344	728.517761279	41.3318396777	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	3	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	51	5.832	[(None, 0.0), (51, 5.173), (51, 5.832)]	16.7542260207	45.0662140789	745.277126918	58.0912053173	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	4	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	50	4.608	[(None, 0.0), (50, 3.887), (50, 4.608)]	15.530142513	60.6013168298	760.812229274	73.626307673	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	5	0.6	19	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_19.mp3	37	2.15	[(None, 0.0), (37, 1.475), (37, 2.15)]	13.0720431684	73.6773059831	773.888218427	86.7022968264	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	6	0.3	2	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_02.mp3	49	3.748	[(None, 0.0), (49, 3.043), (49, 3.748)]	14.6453560296	88.3263029712	788.537215416	101.351294605	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	7	0.3	12	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_12.mp3	50	5.794	[(None, 0.0), (50, 5.26), (50, 5.794)]	16.6996179661	105.030889868	805.241802707	118.055881106	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	8	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	57	2.563	[(None, 0.0), (57, 1.951), (57, 2.562)]	13.4967962332	118.532891308	818.743803753	131.557883337	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	9	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	55	2.875	[(None, 0.0), (55, 2.233), (55, 2.875)]	13.7735462145	132.31042539	832.521338624	145.335417023	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	10	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	56	4.227	[(None, 0.0), (56, 2.46), (56, 4.227)]	15.1456916774	147.460817321	847.671729765	160.485808164	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	11	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	43	3.651	[(None, 0.0), (43, 3.132), (43, 3.65)]	14.5731275537	162.037795243	862.248707687	175.062786086	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	12	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	53	2.839	[(None, 0.0), (53, 2.242), (53, 2.839)]	13.7603506541	175.802855238	876.013767683	188.827846082	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	13	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	31	1.93	[(None, 0.0), (31, 1.1), (31, 1.93)]	12.8431464045	188.650728765	888.861641604	201.675720398	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	14	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	40	3.117	[(None, 0.0), (40, 2.457), (40, 3.117)]	14.0362878898	202.690971727	902.901884171	215.715963756	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
48	beautiful	1	15	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	43	1.713	[(None, 0.0), (43, 0.977), (43, 1.713)]	12.6100839732	215.30480571	915.515718549	228.329796948	2019_Mar_08_1553	Sound Switch 12-20-2018	318-laptop	bpl	MW
