Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
57	patterned	1	1	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	92	3.184	[(None, 0.0), (92, 2.399), (92, 3.184)]	14.1100706971	14.1106791674	857.965805154	19.8028169014	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	2	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	86	1.896	[(None, 0.0), (86, 1.16), (86, 1.896)]	12.8210631083	26.9374113224	870.792537309	32.6295490563	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	3	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	31	1.631	[(None, 0.0), (31, 1.113), (31, 1.631)]	12.5589499067	39.5013830846	883.356508676	45.1935208186	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	4	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	31	1.892	[(None, 0.0), (31, 1.125), (31, 1.892)]	12.8076921709	52.3137249169	896.168850509	58.0058634411	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	5	0.5	6	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_06.mp3	62	2.118	[(None, 0.0), (62, 1.442), (62, 2.118)]	13.0281243666	65.345670398	909.20079599	71.0378081319	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	6	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	58	2.03	[(None, 0.0), (58, 1.381), (58, 2.03)]	12.9386100879	78.2890143058	922.144139898	83.9811520397	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	7	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	40	2.547	[(None, 0.0), (40, 1.951), (40, 2.547)]	13.4580299707	91.7507057663	935.605831358	97.4428435003	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	8	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	84	1.95	[(None, 0.0), (84, 1.275), (84, 1.95)]	12.8864863092	104.642148343	948.497273935	110.334286077	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	9	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	60	1.926	[(None, 0.0), (60, 1.043), (60, 1.926)]	12.8438491357	117.490726952	961.345852939	123.182865081	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	10	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	87	1.893	[(None, 0.0), (87, 1.14), (87, 1.893)]	12.8037078758	130.298224334	974.153349925	135.990362463	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	11	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	63	2.597	[(None, 0.0), (63, 1.939), (63, 2.597)]	13.5431249375	143.845285758	987.700411745	149.537423492	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	12	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	23	1.741	[(None, 0.0), (23, 0.754), (23, 1.741)]	12.6671078735	156.517136934	1000.37226253	162.209274273	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	13	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	83	1.459	[(None, 0.0), (83, 0.738), (83, 1.459)]	12.3706840589	168.891492755	1012.74661795	174.583630885	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	14	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	30	1.945	[(None, 0.0), (30, 1.255), (30, 1.945)]	12.8559770551	181.751156983	1025.60628257	187.443294717	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	15	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	15	1.4	[(None, 0.0), (15, 0.864), (15, 1.4)]	12.3150165334	194.070844513	1037.92597011	199.762981852	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	16	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	100	1.823	[(None, 0.0), (100, 0.95), (100, 1.823)]	12.7400128885	206.814076368	1050.66920156	212.506213707	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	17	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	100	2.245	[(None, 0.0), (100, 1.298), (100, 2.245)]	13.1713835627	219.9899069	1063.8450321	225.682044239	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	18	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	100	2.097	[(None, 0.0), (100, 1.22), (100, 2.097)]	13.0489964784	233.042818134	1076.89794412	238.734956658	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	19	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	41	2.007	[(None, 0.0), (43, 1.071), (41, 1.554), (41, 2.007)]	12.9222453977	245.970070373	1089.82519557	251.662208897	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	20	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	29	1.782	[(None, 0.0), (29, 1.034), (29, 1.782)]	12.7097482079	258.684565835	1102.53969143	264.376703174	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	21	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	35	1.928	[(None, 0.0), (35, 0.916), (35, 1.928)]	12.8434480985	271.532747358	1115.38787334	277.224885487	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	22	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	68	1.069	[(None, 0.0), (68, 0.356), (68, 1.069)]	11.9814554847	283.517954023	1127.37307961	289.210091361	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	23	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	96	1.729	[(None, 0.0), (96, 1.065), (96, 1.729)]	12.6556453203	296.178475403	1140.0336006	301.870612741	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	24	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	79	3.679	[(None, 0.0), (79, 2.393), (79, 3.679)]	14.5907073151	310.786119133	1154.64124472	316.478256867	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	25	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	55	2.878	[(None, 0.0), (64, 1.319), (55, 2.441), (55, 2.878)]	13.8211911241	324.611501985	1168.46662758	330.303639719	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
57	patterned	1	26	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	59	5.075	[(None, 0.0), (59, 1.899), (59, 5.075)]	15.9843125293	340.600355125	1184.45548111	346.292493254	2019_Mar_20_1353	Sound Switch 12-20-2018	318-laptop	bpl	JH
