Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
69	patterned	1	1	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	65	8.589	[(None, 0.0), (66, 1.273), (69, 1.903), (74, 2.511), (80, 2.873), (73, 3.263), (71, 4.495), (75, 4.966), (72, 5.294), (63, 6.526), (65, 7.903), (65, 8.589)]	19.5217931399	19.5227504853	1625.14168909	22.0784560939	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	2	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	98	1.59	[(None, 0.0), (98, 0.898), (98, 1.59)]	12.5285060157	32.0560503399	1637.67498934	34.6117563435	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	3	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	51	0.927	[(None, 0.0), (51, 0.398), (51, 0.927)]	11.8521377487	43.9138807969	1649.5328198	46.4695871957	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	4	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	66	1.088	[(None, 0.0), (66, 0.415), (66, 1.088)]	12.0127489325	55.93021691	1661.54915591	58.4859229137	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	5	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	34	2.383	[(None, 0.0), (24, 0.631), (34, 1.382), (34, 2.383)]	13.3071296747	69.2430037334	1674.86194353	71.7987105273	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	6	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	54	1.303	[(None, 0.0), (54, 0.676), (54, 1.303)]	12.2280390382	81.4754407127	1687.09437971	84.0311471115	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	7	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	60	0.757	[(None, 0.0), (60, 0.276), (60, 0.757)]	11.6794852698	93.1969922839	1698.81593089	95.7526982876	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	8	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	63	1.06	[(None, 0.0), (63, 0.59), (63, 1.06)]	11.9947984102	105.196243555	1710.81518216	107.751949559	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	9	0.5	0	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_00.mp3	64	3.572	[(None, 0.0), (64, 3.179), (64, 3.572)]	14.4942569155	119.695237809	1725.31417681	122.250943813	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
69	patterned	1	10	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	41	3.004	[(None, 0.0), (33, 0.988), (37, 1.553), (41, 1.989), (41, 3.004)]	13.9319277254	133.63212927	1739.25106827	136.187835668	2019_Mar_27_1019	Sound Switch 12-20-2018	318-laptop	bpl	ELG
