Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
73	patterned	1	1	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	91	2.132	[(None, 0.0), (91, 1.026), (91, 2.132)]	13.0037214893	13.0040727372	2249.2087744	30.7247777142	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	2	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	43	6.226	[(None, 0.0), (54, 2.166), (52, 4.022), (43, 5.358), (43, 6.226)]	17.1552503856	30.1643666317	2266.3690679	47.8850716087	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	3	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	56	6.003	[(None, 0.0), (61, 2.018), (56, 3.475), (56, 6.003)]	16.9221031728	47.1304816798	2283.33518374	64.8511878422	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	4	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	67	5.239	[(None, 0.0), (70, 1.413), (67, 2.479), (67, 5.239)]	16.151743043	63.2869861271	2299.4916874	81.0076911041	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	5	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	25	2.508	[(None, 0.0), (25, 0.923), (25, 2.508)]	13.4291866063	76.7192367687	2312.92393804	94.4399417458	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	6	0.8	12	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_12.mp3	74	1.571	[(None, 0.0), (74, 0.646), (74, 1.571)]	12.5179436707	89.2418770466	2325.44657832	106.962582024	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	7	0.7	16	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_16.mp3	76	1.96	[(None, 0.0), (76, 1.128), (76, 1.96)]	12.8870455508	102.133070009	2338.33777128	119.853774986	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	8	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	81	1.851	[(None, 0.0), (81, 0.986), (81, 1.851)]	12.776709064	114.914857351	2351.11955862	132.635562329	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	9	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	81	2.409	[(None, 0.0), (83, 1.186), (81, 1.722), (81, 2.409)]	13.3212934457	128.240636814	2364.44533808	145.961341791	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
73	patterned	1	10	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	100	2.267	[(None, 0.0), (100, 1.442), (100, 2.267)]	13.1870353571	141.43237589	2377.63707716	159.153080867	2019_Mar_28_1017	Sound Switch 12-20-2018	318-laptop	bpl	LM
