Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
75	patterned	1	1	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	87	4.525	[(None, 0.0), (80, 3.246), (87, 3.738), (87, 4.525)]	15.4645005109	15.4655167237	2428.44287122	30.9010105233	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	2	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	69	3.683	[(None, 0.0), (64, 2.354), (69, 2.735), (69, 3.683)]	14.5939605668	30.0638503243	2443.0412064	45.4993457044	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	3	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	32	4.574	[(None, 0.0), (32, 2.933), (32, 4.574)]	15.4875660123	45.5557652691	2458.53311977	60.9912590687	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	4	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	55	3.91	[(None, 0.0), (55, 2.755), (55, 3.91)]	14.8334572649	60.3934367352	2473.37079123	75.8289301397	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	5	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	62	3.04	[(None, 0.0), (62, 2.328), (62, 3.04)]	13.9586643993	74.3562367096	2487.33359121	89.7917305092	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	6	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	97	3.508	[(None, 0.0), (97, 2.78), (97, 3.508)]	14.4243344241	88.7843716589	2501.76172655	104.219865458	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	7	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	91	4.128	[(None, 0.0), (95, 1.824), (91, 2.645), (91, 4.128)]	15.0152040762	103.803781244	2516.78113574	119.239275044	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	8	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	72	3.187	[(None, 0.0), (72, 2.523), (72, 3.187)]	14.1144661762	117.922116694	2530.89947159	133.357610888	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	9	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	44	2.504	[(None, 0.0), (37, 0.815), (47, 1.48), (44, 1.92), (44, 2.504)]	13.4189676985	131.34534087	2544.32269576	146.78083546	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	10	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	17	2.175	[(None, 0.0), (17, 1.479), (17, 2.175)]	13.092161649	144.441728178	2557.41908307	159.877222373	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	11	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	38	5.452	[(None, 0.0), (51, 2.99), (45, 3.403), (38, 4.821), (38, 5.452)]	16.3453298069	160.818921313	2573.79627699	176.254415903	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
75	patterned	1	12	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	73	3.027	[(None, 0.0), (73, 2.361), (73, 3.027)]	13.9401987225	174.763002743	2587.74035763	190.198497333	2019_Apr_01_0841	Sound Switch 12-20-2018	318-laptop	bpl	EJ
