Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
79	patterned	1	1	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	83	3.48	[(None, 0.0), (83, 2.665), (83, 3.48)]	14.393065758	14.3936919987	20111.816135	32.8651923211	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	2	0.2	11	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_11.mp3	32	3.538	[(None, 0.0), (32, 2.207), (32, 3.538)]	14.4481532026	28.8458511657	20126.2682933	47.3173514881	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	3	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	89	4.072	[(None, 0.0), (86, 1.882), (89, 2.993), (89, 4.072)]	14.9901709854	43.841023779	20141.2634663	62.3125241014	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	4	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	30	3.859	[(None, 0.0), (30, 2.717), (30, 3.859)]	14.7704940703	58.6164736449	20156.0389158	77.0879731771	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	5	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	10	2.633	[(None, 0.0), (10, 1.834), (10, 2.633)]	13.560643404	72.181000531	20169.6034427	90.6525000632	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	6	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	14	2.384	[(None, 0.0), (14, 1.491), (14, 2.384)]	13.3079314067	85.4937755237	20182.9162181	103.965275451	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	7	0.7	16	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_16.mp3	76	2.886	[(None, 0.0), (76, 1.368), (76, 2.886)]	13.7946803921	99.2931825509	20196.7156255	117.764682873	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	8	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	83	2.504	[(None, 0.0), (83, 1.733), (83, 2.504)]	13.4240956848	112.721976423	20210.144419	131.193476746	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	9	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	99	2.948	[(None, 0.0), (99, 2.008), (99, 2.948)]	13.8673128469	126.592364764	20224.0148069	145.063864691	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	10	0.1	10	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_10.mp3	91	4.779	[(None, 0.0), (87, 1.869), (91, 3.792), (91, 4.779)]	15.6802956646	142.276304872	20239.6987474	160.747804404	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	11	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	55	4.067	[(None, 0.0), (56, 3.019), (55, 3.145), (55, 4.067)]	14.9780282389	157.258411775	20254.6808543	175.729911702	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	12	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	47	4.13	[(None, 0.0), (47, 3.282), (47, 4.13)]	15.0419126851	172.305044773	20269.7274873	190.776545491	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	13	0.9	18	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_18.mp3	88	2.417	[(None, 0.0), (88, 1.572), (88, 2.417)]	13.3390703823	185.669734916	20283.0921775	204.141234844	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	14	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	77	2.057	[(None, 0.0), (77, 1.351), (77, 2.057)]	12.9645662385	198.639057423	20296.0615008	217.11055814	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	15	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	25	2.186	[(None, 0.0), (26, 1.357), (25, 1.468), (25, 2.186)]	13.1102610218	211.752975137	20309.1754177	230.224475459	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	16	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	29	4.075	[(None, 0.0), (29, 2.589), (29, 4.075)]	14.9864696465	226.743829653	20324.1662726	245.215329975	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	17	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	66	6.523	[(None, 0.0), (66, 3.723), (66, 6.523)]	17.4220099282	244.170319671	20341.5927622	262.641819203	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	18	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	81	2.311	[(None, 0.0), (81, 1.543), (81, 2.311)]	13.231960714	257.407460205	20354.8299028	275.878960132	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	19	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	19	1.857	[(None, 0.0), (19, 1.226), (19, 1.857)]	12.7772294166	270.18942653	20367.6118687	288.660926062	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	20	0.8	13	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_13.mp3	63	2.062	[(None, 0.0), (63, 1.278), (63, 2.062)]	12.9746994835	283.167738849	20380.5901818	301.639239171	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	21	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	11	2.383	[(None, 0.0), (11, 1.614), (11, 2.382)]	13.3269746533	296.499459497	20393.9219021	314.970959424	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	22	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	64	2.982	[(None, 0.0), (64, 2.173), (64, 2.982)]	13.8826721391	310.3860973	20407.8085399	328.857596832	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	23	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	98	2.066	[(None, 0.0), (98, 1.28), (98, 2.066)]	12.9903863174	323.380552799	20420.8029962	341.852053911	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	24	0.2	14	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_14.mp3	49	2.982	[(None, 0.0), (49, 2.417), (49, 2.982)]	13.8928520065	337.278229821	20434.7006728	355.749730144	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	25	0.6	15	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_15.mp3	36	3.304	[(None, 0.0), (36, 2.646), (36, 3.304)]	14.2127278173	351.495815053	20448.9182576	369.967315376	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	26	0.6	19	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_19.mp3	71	1.492	[(None, 0.0), (71, 0.957), (71, 1.492)]	12.4312304818	363.931810495	20461.3542531	382.403310423	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	27	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	62	4.149	[(None, 0.0), (62, 3.491), (62, 4.149)]	15.063660817	378.999180158	20476.4216223	397.470680085	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	28	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	89	2.529	[(None, 0.0), (80, 0.887), (89, 1.685), (89, 2.529)]	13.4487743068	392.452100692	20489.8745437	410.923601014	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	29	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	86	4.712	[(None, 0.0), (86, 3.882), (86, 4.712)]	15.6215783951	408.077384772	20505.4998277	426.548885094	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	30	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	17	1.875	[(None, 0.0), (17, 1.183), (17, 1.874)]	12.7991640379	420.881289273	20518.3037318	439.352789596	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	31	0.7	12	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_12.mp3	14	2.077	[(None, 0.0), (14, 1.309), (14, 2.077)]	12.9872310129	433.873434991	20531.295878	452.344935313	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	32	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	39	3.102	[(None, 0.0), (39, 1.426), (39, 3.102)]	14.0233566024	447.900599611	20545.3230426	466.372100328	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	33	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	46	4.12	[(None, 0.0), (46, 2.306), (46, 4.12)]	15.0433927465	462.948915754	20560.3713579	481.420415286	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	34	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	71	2.794	[(None, 0.0), (71, 2.23), (71, 2.794)]	13.6989809465	476.652607927	20574.0750501	495.124107064	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	35	0.1	6	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_06.mp3	92	2.888	[(None, 0.0), (92, 2.245), (92, 2.888)]	13.7976310325	490.453920938	20587.8763635	508.92542126	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	36	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	71	2.456	[(None, 0.0), (71, 1.904), (71, 2.456)]	13.3550223313	503.81281964	20601.2352618	522.284319172	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	37	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	80	1.978	[(None, 0.0), (80, 1.304), (80, 1.978)]	12.8815136927	516.699361827	20614.1218044	535.170861755	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	38	0.9	13	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_13.mp3	85	2.618	[(None, 0.0), (84, 1.709), (85, 1.759), (85, 2.618)]	13.5429336351	530.246114147	20627.6685567	548.717613679	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	39	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	76	2.486	[(None, 0.0), (76, 1.906), (76, 2.486)]	13.3868175755	543.638033312	20641.0604767	562.10953403	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	40	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	72	2.215	[(None, 0.0), (72, 1.431), (72, 2.215)]	13.1487035041	556.79172185	20654.2141644	575.263221777	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	41	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	89	1.815	[(None, 0.0), (89, 0.78), (89, 1.815)]	12.7256485245	569.521865873	20666.9443092	587.993366591	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	42	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	61	3.198	[(None, 0.0), (61, 2.446), (61, 3.198)]	14.1389507447	583.6657412	20681.0881834	602.137240732	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	43	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	37	2.952	[(None, 0.0), (37, 2.372), (37, 2.952)]	13.8763654811	597.547034425	20694.969477	616.018534352	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	44	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	88	2.722	[(None, 0.0), (88, 1.813), (88, 2.722)]	13.6312628014	611.182948791	20708.605391	629.654448323	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	45	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	68	1.793	[(None, 0.0), (68, 1.088), (68, 1.793)]	12.7040208994	623.89171292	20721.3141559	642.363213243	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	46	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	70	3.992	[(None, 0.0), (70, 3.162), (70, 3.992)]	14.9004281352	638.796497478	20736.21894	657.267997405	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	47	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	64	5.852	[(None, 0.0), (30, 1.774), (64, 4.994), (64, 5.852)]	16.8676257697	655.668866477	20753.091309	674.140366404	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	48	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	79	2.35	[(None, 0.0), (79, 1.457), (79, 2.35)]	13.2599933781	668.933782067	20766.3562246	687.405281994	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	49	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	82	2.046	[(None, 0.0), (82, 1.341), (82, 2.046)]	12.9551493179	681.893705037	20779.316148	700.36520536	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	50	0.7	10	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_10.mp3	65	1.863	[(None, 0.0), (65, 1.236), (65, 1.863)]	12.7731867074	694.670570562	20792.0930131	713.14207049	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	51	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	54	2.196	[(None, 0.0), (54, 1.615), (54, 2.196)]	13.1048484853	707.779201383	20805.2016443	726.250701706	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	52	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	32	3.072	[(None, 0.0), (32, 2.273), (32, 3.072)]	13.9821369306	721.764863436	20819.187306	740.236363758	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	53	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	22	2.307	[(None, 0.0), (22, 1.569), (22, 2.306)]	13.2163698905	734.985991175	20832.4084333	753.457490707	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	54	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	46	2.305	[(None, 0.0), (46, 1.506), (46, 2.305)]	13.2121244927	748.202973477	20845.625416	766.6744738	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
79	patterned	1	55	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	60	1.516	[(None, 0.0), (60, 0.638), (60, 1.515)]	12.4263888713	760.63348882	20858.0559314	779.104988747	2019_Apr_03_1013	Sound Switch 12-20-2018	318-laptop	bpl	SF
