Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
80	beautiful	1	1	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	56	10.289	[(None, 0.0), (58, 4.02), (57, 4.307), (56, 4.338), (55, 4.478), (56, 4.806), (55, 7.242), (56, 8.337), (56, 10.288)]	21.210115108	21.2110175442	2394.47221196	60.4831510352	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	2	0.1	0	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_00.mp3	36	9.805	[(None, 0.0), (46, 1.715), (45, 1.889), (44, 1.92), (43, 1.951), (42, 1.967), (41, 2.684), (40, 2.778), (39, 4.353), (38, 8.869), (37, 9.009), (36, 9.055), (36, 9.805)]	20.7302593082	41.9455515706	2415.20674559	81.2176850616	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	3	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	57	4.041	[(None, 0.0), (55, 2.086), (56, 2.432), (57, 2.587), (57, 4.041)]	14.9486476694	56.8992839383	2430.16047835	96.1714174293	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	4	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	50	4.945	[(None, 0.0), (57, 2.134), (56, 2.184), (55, 2.261), (54, 2.417), (53, 2.589), (52, 2.714), (51, 3.088), (50, 3.213), (50, 4.945)]	15.8686449668	72.7729468294	2446.03414125	112.045080715	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	5	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	51	5.058	[(None, 0.0), (52, 1.363), (53, 1.818), (52, 2.702), (51, 2.765), (52, 3.503), (51, 4.096), (51, 5.058)]	15.9860126349	88.7637533599	2462.02494738	128.035886851	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	6	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	57	9.163	[(None, 0.0), (52, 2.138), (53, 2.325), (54, 2.375), (55, 2.407), (56, 2.417), (57, 2.438), (57, 9.163)]	20.9500949652	109.718660791	2482.97985521	148.990794282	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	7	0.1	10	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_10.mp3	41	6.878	[(None, 0.0), (44, 1.471), (43, 1.584), (42, 1.599), (40, 1.615), (39, 1.63), (37, 1.646), (36, 1.662), (37, 2.176), (38, 2.269), (37, 2.472), (38, 6.005), (39, 6.114), (40, 6.176), (41, 6.285), (41, 6.878)]	17.819035871	127.541208814	2500.80240402	166.81334349	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	8	0.1	5	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_05.mp3	50	3.006	[(None, 0.0), (55, 1.489), (54, 1.617), (53, 1.648), (52, 1.679), (51, 1.71), (50, 1.737), (50, 3.006)]	13.9169383392	141.462587424	2514.72378223	180.734721705	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	9	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	53	6.152	[(None, 0.0), (52, 1.818), (53, 4.935), (53, 6.152)]	17.0866567862	158.561994479	2531.82318889	197.83412797	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
80	beautiful	1	10	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	58	3.366	[(None, 0.0), (57, 2.402), (58, 2.66), (58, 3.366)]	14.282805075	172.848692989	2546.1098874	212.120826875	2019_Apr_04_0842	Sound Switch 12-20-2018	318-laptop	bpl	JC
