Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
81	patterned	1	1	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	28	3.282	[(None, 0.0), (28, 2.512), (28, 3.282)]	14.2097409368	14.2108523873	848.142021481	29.8265904153	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	2	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	56	8.672	[(None, 0.0), (56, 7.876), (56, 8.672)]	19.5872275257	33.8030358047	867.734204503	49.4187738327	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	3	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	32	2.19	[(None, 0.0), (32, 1.606), (32, 2.19)]	13.0993398861	46.9075990734	880.838768562	62.5233378916	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	4	0.2	8	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_08.mp3	36	3.161	[(None, 0.0), (36, 2.234), (36, 3.161)]	14.0593877263	60.970658972	894.901828065	76.586397	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	5	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	68	2.432	[(None, 0.0), (68, 1.868), (68, 2.432)]	13.350721297	74.3255637164	908.25673439	89.9413045102	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	6	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	69	1.998	[(None, 0.0), (69, 1.228), (69, 1.998)]	12.9084548863	87.2387307101	921.169899804	102.854469133	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	7	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	63	4.236	[(None, 0.0), (63, 3.641), (63, 4.236)]	15.1647890279	102.407636807	936.338806295	118.02337523	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	8	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	45	4.86	[(None, 0.0), (45, 3.754), (45, 4.86)]	15.7883791196	118.200752531	952.131921624	133.816491349	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	9	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	42	15.123	[(None, 0.0), (42, 1.373), (42, 15.123)]	26.0343644838	144.239492881	978.170661975	159.855232095	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	10	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	65	2.973	[(None, 0.0), (65, 2.344), (65, 2.973)]	13.8748288671	158.119068231	992.050237324	173.734806259	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	11	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	27	2.954	[(None, 0.0), (27, 1.747), (27, 2.954)]	13.8695142136	171.993218295	1005.92438739	187.608956323	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	12	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	63	3.873	[(None, 0.0), (63, 2.931), (63, 3.873)]	14.7891756657	186.786998993	1020.71816809	202.402737021	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	13	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	40	4.562	[(None, 0.0), (41, 3.807), (40, 3.934), (40, 4.562)]	15.4718180335	202.26247695	1036.19364604	217.878214978	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
81	patterned	1	14	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	63	3.194	[(None, 0.0), (63, 2.692), (63, 3.194)]	14.1063076888	216.373619626	1050.30478872	231.989358049	2019_Apr_04_1036	Sound Switch 12-20-2018	318-laptop	bpl	JG
