Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
86	beautiful	1	1	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	50	3.13	[(None, 0.0), (50, 2.543), (50, 3.13)]	14.0567896396	14.0571906768	2842.73468719	19.6999952982	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	2	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	16	3.38	[(None, 0.0), (16, 2.581), (16, 3.38)]	14.3391759653	28.4016520364	2857.07914816	34.0444562626	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	3	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	14	2.925	[(None, 0.0), (14, 2.232), (14, 2.925)]	13.8722848494	42.2791128345	2870.95660896	47.9219162705	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	4	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	25	2.469	[(None, 0.0), (25, 1.863), (25, 2.469)]	13.4175742028	55.7016116956	2884.37910821	61.3444155267	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	5	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	24	4.125	[(None, 0.0), (19, 2.852), (24, 3.293), (24, 4.125)]	15.0916937087	70.7979886501	2899.47548517	76.4407928763	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	6	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	47	3.102	[(None, 0.0), (47, 2.479), (47, 3.102)]	14.0629786518	84.8911209564	2913.56861668	90.5339243924	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	7	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	35	3.799	[(None, 0.0), (11, 2.004), (34, 3.233), (35, 3.283), (35, 3.799)]	14.7522348442	99.6464499116	2928.32394603	105.289253348	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	8	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	21	2.913	[(None, 0.0), (21, 2.351), (21, 2.913)]	13.8703618462	113.521582323	2942.19907844	119.164385759	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	9	0.7	1	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_01.mp3	25	3.05	[(None, 0.0), (25, 2.267), (25, 3.05)]	14.0109232272	127.537312071	2956.21480819	133.180115507	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	10	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	16	4.568	[(None, 0.0), (16, 3.983), (16, 4.568)]	16.891248182	144.432953882	2973.1104504	150.075757713	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	11	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	42	4.343	[(None, 0.0), (38, 1.854), (42, 3.641), (42, 4.343)]	15.2918539655	159.728510034	2988.40600616	165.37131347	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	12	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	18	2.487	[(None, 0.0), (15, 1.388), (16, 1.587), (18, 1.92), (18, 2.487)]	13.4586163148	173.190249698	3001.86774621	178.833053529	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	13	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	25	1.614	[(None, 0.0), (25, 1.033), (25, 1.614)]	12.5641989508	185.758003064	3014.43549958	191.400806895	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	14	0.9	13	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_13.mp3	1	3.714	[(None, 0.0), (1, 3.034), (1, 3.714)]	14.7019574174	200.463835726	3029.14133224	206.106639557	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	15	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	8	1.415	[(None, 0.0), (8, 0.771), (8, 1.415)]	12.3831904943	212.850867485	3041.528364	218.493671711	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	16	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	18	2.885	[(None, 0.0), (18, 2.175), (18, 2.885)]	13.8592533121	226.713203055	3055.39069957	232.356007281	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	17	0.9	16	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_16.mp3	33	2.585	[(None, 0.0), (33, 2.046), (33, 2.585)]	13.5414160842	240.2594466	3068.93694391	245.902251222	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	18	0.7	3	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_03.mp3	9	2.365	[(None, 0.0), (9, 1.564), (9, 2.365)]	13.3341394906	253.598240494	3082.27573701	259.241044325	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	19	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	43	2.692	[(None, 0.0), (43, 2.125), (43, 2.692)]	13.6432305506	267.244521693	3095.92201821	272.887325524	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	20	0.7	9	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_09.mp3	39	2.289	[(None, 0.0), (39, 1.487), (39, 2.288)]	13.23902689	280.487357054	3109.16485317	286.13016049	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	21	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	20	2.355	[(None, 0.0), (20, 1.271), (20, 2.355)]	13.32511556	293.817137685	3122.4946342	299.459941911	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	22	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	11	2.855	[(None, 0.0), (11, 2.248), (11, 2.855)]	13.8236945447	307.645737132	3136.32323365	313.288540963	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	23	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	21	2.725	[(None, 0.0), (21, 2.283), (21, 2.725)]	13.6966376484	321.347060792	3150.02455731	326.989864623	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	24	0.3	2	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_02.mp3	12	2.591	[(None, 0.0), (12, 2.007), (12, 2.591)]	13.5402295672	334.89240309	3163.5699	340.535207316	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	25	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	21	2.752	[(None, 0.0), (20, 1.979), (21, 2.144), (21, 2.752)]	13.7186781022	348.61476876	3177.29226528	354.257572591	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	26	0.4	6	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_06.mp3	11	2.691	[(None, 0.0), (11, 1.91), (11, 2.691)]	13.6530383806	362.27261366	3190.95011018	367.915417492	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	27	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	8	2.378	[(None, 0.0), (8, 1.562), (8, 2.378)]	13.3338826688	375.611147176	3204.28864369	381.253951007	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	28	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	27	1.864	[(None, 0.0), (26, 1.34), (27, 1.423), (27, 1.864)]	12.820983691	388.436890369	3217.11438689	394.079694595	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	29	0.5	4	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_04.mp3	21	2.969	[(None, 0.0), (21, 2.55), (21, 2.969)]	13.9257539797	402.367487614	3231.04498413	408.010291445	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	30	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	21	1.802	[(None, 0.0), (21, 1.393), (21, 1.802)]	12.7603808392	415.132782444	3243.81027896	420.775586275	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	31	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	29	2.636	[(None, 0.0), (29, 1.686), (29, 2.636)]	13.5970919071	428.732710455	3257.41020697	434.375514286	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	32	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	30	2.644	[(None, 0.0), (30, 2.217), (30, 2.644)]	13.6024215538	442.340470743	3271.01796686	447.983274574	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	33	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	36	2.302	[(None, 0.0), (30, 1.51), (31, 1.537), (32, 1.612), (36, 1.845), (36, 2.302)]	13.2791159954	455.624522064	3284.30201858	461.267326291	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	34	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	44	2.805	[(None, 0.0), (44, 2.25), (44, 2.805)]	13.753984789	469.383403459	3298.06089997	475.02620729	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	35	0.3	5	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_05.mp3	21	2.644	[(None, 0.0), (21, 1.872), (21, 2.644)]	13.5919009442	482.980391847	3311.65788836	488.623196073	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	36	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	35	1.51	[(None, 0.0), (35, 1.119), (35, 1.51)]	12.4822166652	495.473205773	3324.15070189	501.116009209	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	37	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	0	2.568	[(None, 0.0), (0, 1.639), (0, 2.568)]	13.5261679765	509.004288925	3337.68178544	514.647092757	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	38	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	16	2.162	[(None, 0.0), (15, 1.332), (16, 1.394), (16, 2.162)]	13.1035715231	522.139472851	3350.81696897	527.782276287	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	39	0.2	15	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_15.mp3	38	2.035	[(None, 0.0), (38, 1.625), (38, 2.035)]	12.9856029605	535.129780789	3363.80727691	540.77258462	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	40	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	27	2.236	[(None, 0.0), (26, 1.593), (27, 1.737), (27, 2.236)]	13.1842491536	548.317802063	3376.99529858	553.960606684	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	41	0.9	18	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_18.mp3	19	1.79	[(None, 0.0), (19, 1.221), (19, 1.79)]	12.7514849244	561.073639526	3389.75113723	566.716444147	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	42	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	32	3.357	[(None, 0.0), (26, 1.772), (32, 2.605), (32, 3.357)]	14.3163306712	575.393620228	3404.07111674	581.03642406	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	43	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	24	2.528	[(None, 0.0), (24, 1.619), (24, 2.528)]	13.4849915269	588.88409668	3417.5615932	594.526900512	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	44	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	25	1.875	[(None, 0.0), (24, 1.311), (25, 1.363), (25, 1.875)]	12.8365822618	601.724332135	3430.40182826	607.367135571	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	45	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	28	1.45	[(None, 0.0), (28, 1.005), (28, 1.45)]	12.4093653852	614.13873676	3442.81623367	619.781541382	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	46	0.6	19	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_19.mp3	32	1.728	[(None, 0.0), (32, 1.016), (32, 1.728)]	12.694435302	626.837885732	3455.51538225	632.480689563	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	47	0.1	19	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_19.mp3	29	1.954	[(None, 0.0), (22, 0.934), (29, 1.287), (29, 1.954)]	13.0156127948	639.857496255	3468.53499277	645.500300086	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	48	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	28	2.127	[(None, 0.0), (28, 1.445), (28, 2.127)]	13.0764902485	652.938745216	3481.61624173	658.581549047	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	49	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	34	3.105	[(None, 0.0), (34, 2.388), (34, 3.105)]	14.0541597835	666.996589801	3495.67408671	672.639394422	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	50	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	1	2.725	[(None, 0.0), (1, 1.91), (1, 2.725)]	13.6944396482	680.694701607	3509.37219812	686.337505438	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	51	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	6	2.438	[(None, 0.0), (5, 1.905), (6, 2.08), (6, 2.438)]	13.3968352432	694.095679189	3522.77317571	699.738483811	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	52	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	0	2.035	[(None, 0.0), (0, 1.45), (0, 2.035)]	12.987305492	707.087925539	3535.76542206	712.730729765	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	53	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	3	2.637	[(None, 0.0), (3, 1.927), (3, 2.637)]	13.613133792	720.704867012	3549.38236313	726.347670843	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	54	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	24	2.282	[(None, 0.0), (24, 1.629), (24, 2.282)]	13.2394271371	733.948493779	3562.62599188	739.591299586	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	55	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	36	2.751	[(None, 0.0), (36, 2.203), (36, 2.751)]	13.7174647176	747.670510171	3576.34800669	753.313314002	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	56	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	21	2.77	[(None, 0.0), (20, 1.815), (21, 1.851), (21, 2.77)]	13.7416000477	761.416800181	3590.0942967	767.059604012	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	57	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	22	2.384	[(None, 0.0), (21, 1.743), (22, 1.769), (22, 2.384)]	13.351201551	774.772934688	3603.45043199	780.415739309	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	58	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	29	2.732	[(None, 0.0), (29, 1.619), (29, 2.732)]	13.6857768487	788.464650444	3617.14214735	794.107455065	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	59	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	0	3.672	[(None, 0.0), (0, 2.239), (0, 3.672)]	14.638247811	803.107702799	3631.78519892	808.750506631	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	60	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	19	3.364	[(None, 0.0), (36, 1.854), (35, 1.99), (19, 2.796), (19, 3.364)]	14.3218926429	817.433285775	3646.11078229	823.076090001	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	61	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	22	1.03	[(None, 0.0), (21, 0.653), (22, 0.729), (22, 1.029)]	12.0009091495	829.437897901	3658.11539442	835.080701732	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	62	0.7	2	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_02.mp3	16	3.387	[(None, 0.0), (15, 2.756), (16, 2.887), (16, 3.387)]	14.3454009325	843.788275251	3672.46577137	849.431079083	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	63	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	18	1.303	[(None, 0.0), (18, 1.005), (18, 1.303)]	12.2628323028	856.05582478	3684.7333213	861.698629006	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	64	0.1	5	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_05.mp3	5	2.077	[(None, 0.0), (5, 1.209), (5, 2.076)]	13.041728024	869.102817652	3697.78031417	874.745621483	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	65	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	27	2.833	[(None, 0.0), (27, 2.254), (27, 2.833)]	13.7822833994	882.888806003	3711.56630212	888.53160944	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	66	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	15	2.891	[(None, 0.0), (15, 2.045), (15, 2.89)]	13.862450547	896.755227412	3725.43272432	902.398032033	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	67	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	28	1.426	[(None, 0.0), (28, 1.05), (28, 1.426)]	12.3791947409	909.148048727	3737.82554524	914.790852558	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	68	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	36	1.776	[(None, 0.0), (36, 1.252), (36, 1.776)]	12.7406209637	921.8925639	3750.57006002	927.535368522	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
86	beautiful	1	69	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	32	2.643	[(None, 0.0), (32, 2.082), (32, 2.643)]	13.5977221085	935.495232793	3764.17272931	941.138036624	2019_Apr_05_0849	Sound Switch 12-20-2018	318-laptop	bpl	KS
