Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
94	beautiful	1	1	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	56	3.043	[(None, 0.0), (56, 1.547), (56, 3.043)]	13.9922285085	13.9925165464	1499.30881021	31.4257093378	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	2	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	52	2.983	[(None, 0.0), (52, 1.98), (52, 2.983)]	13.9367644217	27.9334620614	1513.24975651	45.366655643	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	3	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	50	4.044	[(None, 0.0), (49, 3.3), (50, 3.327), (50, 4.044)]	15.0478356264	42.9850682579	1528.30136231	60.4182614444	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	4	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	62	2.861	[(None, 0.0), (62, 1.282), (62, 2.861)]	13.8104643495	56.8002305093	1542.11652456	74.2334236958	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	5	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	54	4.063	[(None, 0.0), (56, 1.392), (54, 3.109), (54, 4.063)]	15.0118466943	71.8167462623	1557.13304032	89.2499394488	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	6	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	54	3.536	[(None, 0.0), (54, 2.793), (54, 3.536)]	14.4945638281	86.3141695283	1571.63046358	103.747362715	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	7	0.5	6	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_06.mp3	60	2.521	[(None, 0.0), (60, 1.524), (60, 2.521)]	13.4800430042	99.7991716046	1585.11546605	117.232365186	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	8	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	67	2.312	[(None, 0.0), (67, 1.406), (67, 2.311)]	13.2624993234	113.064347428	1598.38064188	130.49754101	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	9	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	62	3.154	[(None, 0.0), (63, 1.716), (62, 2.464), (62, 3.154)]	14.4177209288	127.485207931	1612.80150199	144.918400722	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	10	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	47	3.362	[(None, 0.0), (47, 2.1), (47, 3.362)]	14.3125823565	141.801002166	1627.11729622	159.234195353	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	11	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	38	2.393	[(None, 0.0), (38, 1.631), (38, 2.393)]	13.3510506271	155.155730907	1640.47202773	172.58892765	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	12	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	53	2.13	[(None, 0.0), (53, 1.489), (53, 2.13)]	13.089924719	168.249363373	1653.56565822	185.682557745	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
94	beautiful	1	13	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	45	3.032	[(None, 0.0), (45, 2.249), (45, 3.032)]	13.9809725092	182.235176025	1667.55147008	199.668369212	2019_Apr_10_0859	Sound Switch 12-20-2018	318-laptop	bpl	SMO
