Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
17	patterned	1	1	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	58	3.388	[(None, 0.0), (58, 2.695), (58, 3.388)]	14.2821263418	14.282864397	1353.18905079	29.1048085798	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	2	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	64	2.905	[(None, 0.0), (64, 2.15), (64, 2.905)]	13.822527357	28.1115755345	1367.01776192	42.9335193222	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	3	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	87	2.018	[(None, 0.0), (87, 1.481), (87, 2.018)]	12.9232387032	41.0403954838	1379.94658227	55.8623396666	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	4	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	42	2.136	[(None, 0.0), (42, 1.631), (42, 2.136)]	13.0587441366	54.1044320452	1393.01061883	68.926376228	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	5	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	93	2.11	[(None, 0.0), (94, 1.386), (93, 1.411), (93, 2.11)]	13.03227095	67.1423399511	1406.04852634	81.9642837388	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	6	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	86	1.987	[(None, 0.0), (86, 1.343), (86, 1.986)]	12.9097541818	80.0574928407	1418.96367923	94.8794366284	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	7	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	74	2.269	[(None, 0.0), (74, 1.811), (74, 2.269)]	13.1894514211	93.2522805432	1432.15846733	108.074224726	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	8	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	80	2.237	[(None, 0.0), (80, 1.639), (80, 2.237)]	13.1808780486	106.438797918	1445.3449847	121.260742891	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	9	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	90	1.689	[(None, 0.0), (90, 1.106), (90, 1.689)]	12.598298443	119.041928884	1457.94811527	133.863873462	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
17	patterned	1	10	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	58	2.219	[(None, 0.0), (59, 1.667), (58, 1.693), (58, 2.219)]	13.1252892165	132.172467459	1471.07865385	146.994412037	2019_Feb_20_1514	Sound Switch 12-20-2018	318-laptop	bpl	BR
