Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
49	patterned	1	1	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	73	5.206	[(None, 0.0), (73, 4.326), (73, 5.206)]	16.1157535727	16.1162454854	1600.77376402	34.1352348952	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	2	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	38	3.121	[(None, 0.0), (38, 2.117), (38, 3.121)]	14.0649427465	30.1844684399	1614.84198698	48.20345864	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	3	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	59	5.24	[(None, 0.0), (55, 3.258), (59, 4.528), (59, 5.24)]	16.1558110692	46.3434218236	1631.00093997	64.3624112335	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	4	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	59	2.762	[(None, 0.0), (59, 1.726), (59, 2.762)]	13.6801311135	60.0262096607	1644.68372781	78.0451994657	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	5	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	100	2.688	[(None, 0.0), (100, 1.561), (100, 2.688)]	13.6259148292	73.6565746204	1658.31409356	91.6755648205	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	6	0.9	9	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_09.mp3	100	2.28	[(None, 0.0), (100, 1.384), (100, 2.28)]	13.1975181524	86.8579134921	1671.51543203	104.876902902	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	7	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	99	4.261	[(None, 0.0), (97, 1.615), (99, 2.164), (99, 4.261)]	15.190227967	102.050578106	1686.70809704	120.069567911	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	8	0.4	15	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_15.mp3	77	6.256	[(None, 0.0), (68, 3.835), (77, 5.519), (77, 6.256)]	17.1882615016	119.248573947	1703.90609288	137.267563752	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	9	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	96	6.391	[(None, 0.0), (100, 2.001), (94, 4.937), (96, 5.639), (96, 6.391)]	17.299919753	136.55367518	1721.21119372	154.57266459	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	10	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	67	4.915	[(None, 0.0), (66, 2.737), (65, 3.396), (67, 3.976), (67, 4.915)]	15.8311601593	152.389528858	1737.047047	170.408518268	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	11	0.9	1	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_01.mp3	77	4.613	[(None, 0.0), (77, 3.14), (77, 4.613)]	15.5547032581	167.949206164	1752.6067251	185.968196364	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	12	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	35	5.598	[(None, 0.0), (35, 3.249), (35, 5.598)]	16.5226514923	184.476628616	1769.13414755	202.495618816	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	13	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	36	2.493	[(None, 0.0), (36, 1.601), (36, 2.493)]	13.40679203	197.887150095	1782.54466903	215.906140295	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	14	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	33	4.093	[(None, 0.0), (33, 3.357), (33, 4.093)]	14.9928832681	212.884973431	1797.54249158	230.903962841	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	15	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	69	7.319	[(None, 0.0), (72, 3.572), (69, 4.864), (70, 5.356), (69, 5.917), (69, 7.319)]	18.2428440534	231.132729499	1815.79024804	249.151719304	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	16	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	87	4.838	[(None, 0.0), (70, 2.2), (72, 2.874), (73, 2.921), (84, 3.306), (87, 3.805), (87, 4.838)]	15.7630964342	246.901123971	1831.55864251	264.920113776	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	17	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	81	2.196	[(None, 0.0), (81, 1.528), (81, 2.196)]	13.1204490669	260.026363359	1844.6838815	278.045352769	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	18	0.8	19	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_19.mp3	88	2.005	[(None, 0.0), (88, 1.347), (88, 2.005)]	12.9206491509	272.951690619	1857.60920916	290.970680029	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
49	patterned	1	19	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	80	3.647	[(None, 0.0), (72, 1.332), (77, 2.067), (79, 2.514), (80, 2.623), (80, 3.647)]	14.559726299	287.515383038	1872.17290158	305.534372843	2019_Mar_13_1335	Sound Switch 12-20-2018	318-laptop	bpl	AG
