Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
51	patterned	1	1	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	61	3.781	[(None, 0.0), (61, 2.879), (61, 3.781)]	14.6636486803	14.6640876482	2640.53940734	31.8749182615	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	2	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	29	2.418	[(None, 0.0), (29, 1.803), (29, 2.418)]	13.3325408732	28.0020482533	2653.87736795	45.2128788666	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	3	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	20	1.892	[(None, 0.0), (20, 1.296), (20, 1.892)]	12.8168101379	40.8348094006	2666.71012949	58.0456404091	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	4	0.8	1	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_01.mp3	69	1.749	[(None, 0.0), (69, 1.169), (69, 1.749)]	12.6734798219	53.5139049293	2679.38922462	70.7247359377	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	5	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	17	2.47	[(None, 0.0), (28, 0.988), (17, 1.882), (17, 2.47)]	13.3856508479	66.9127915867	2692.78811128	84.1236222	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	6	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	62	2.676	[(None, 0.0), (62, 1.946), (62, 2.676)]	13.6069827104	80.5247811384	2706.40010123	97.7356121468	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	7	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	70	1.521	[(None, 0.0), (70, 0.837), (70, 1.521)]	12.433824706	92.9630113274	2718.83833142	110.173842336	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	8	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	31	1.19	[(None, 0.0), (31, 0.476), (31, 1.19)]	12.1207631798	105.089566433	2730.96488652	122.300397442	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	9	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	61	2.005	[(None, 0.0), (61, 1.18), (61, 2.005)]	12.9204255183	118.015262332	2743.89058242	135.22609334	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	10	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	29	1.702	[(None, 0.0), (39, 0.556), (29, 1.233), (29, 1.702)]	12.6377867169	130.658586919	2756.5339078	147.869419112	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	11	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	62	1.184	[(None, 0.0), (62, 0.417), (62, 1.184)]	12.1112473365	142.775536491	2768.65085658	159.986367499	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	12	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	62	1.111	[(None, 0.0), (62, 0.546), (62, 1.111)]	12.0339909686	154.81508627	2780.69040675	172.025918069	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	13	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	64	1.568	[(None, 0.0), (64, 1.078), (64, 1.568)]	12.4806125162	167.301110221	2793.17643031	184.511941625	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	14	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	23	1.409	[(None, 0.0), (23, 0.86), (23, 1.408)]	12.3299193145	179.63572661	2805.5110467	196.846557619	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	15	0.8	6	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_06.mp3	63	1.432	[(None, 0.0), (63, 0.981), (63, 1.432)]	12.3464491609	191.987505023	2817.86282511	209.198336426	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	16	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	81	1.011	[(None, 0.0), (81, 0.451), (81, 1.011)]	11.9305514124	203.923578106	2829.79889819	221.134409114	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	17	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	89	1.325	[(None, 0.0), (89, 0.827), (89, 1.324)]	12.2365021334	216.164218627	2842.03953832	233.375050031	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	18	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	66	1.172	[(None, 0.0), (66, 0.826), (66, 1.172)]	12.1098612885	228.281103007	2854.1564231	245.49193441	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
51	patterned	1	19	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	70	1.28	[(None, 0.0), (70, 0.887), (70, 1.28)]	12.2047399837	240.490286009	2866.3656061	257.701117412	2019_Mar_18_1008	Sound Switch 12-20-2018	318-laptop	bpl	NP
