Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
53	patterned	1	1	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	68	2.999	[(None, 0.0), (68, 1.573), (68, 2.999)]	13.9438400687	13.9445180653	2036.56489368	27.7020520856	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	2	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	59	3.33	[(None, 0.0), (55, 0.919), (59, 2.815), (59, 3.33)]	14.2734550883	28.2229348562	2050.84331047	41.9804688766	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	3	0.1	17	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_17.mp3	60	1.87	[(None, 0.0), (60, 0.666), (60, 1.87)]	12.8024588046	41.0302557975	2063.65063181	54.787790213	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	4	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	52	1.856	[(None, 0.0), (54, 0.854), (52, 1.418), (52, 1.856)]	12.786113001	53.8210997611	2076.44147538	67.5786337815	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	5	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	51	1.046	[(None, 0.0), (51, 0.763), (51, 1.046)]	11.9655916706	65.790404214	2088.41077944	79.5479378392	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	6	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	53	2.649	[(None, 0.0), (53, 1.474), (53, 2.649)]	13.5495427474	79.3438545294	2101.96423015	93.1013885498	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	7	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	55	1.239	[(None, 0.0), (55, 0.89), (55, 1.239)]	12.1603710965	91.5098345072	2114.13021012	105.267368528	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	8	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	59	2.54	[(None, 0.0), (58, 1.974), (59, 2.001), (59, 2.54)]	13.4648465065	104.978418687	2127.5987943	118.735953893	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	9	0.6	9	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_09.mp3	65	3.821	[(None, 0.0), (65, 3.193), (65, 3.821)]	14.736521656	119.718660633	2142.33903625	133.476194653	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	10	0.3	2	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_02.mp3	59	1.295	[(None, 0.0), (59, 0.652), (59, 1.295)]	12.2272485901	131.94990964	2154.57028605	145.707444451	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	11	0.3	3	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_03.mp3	59	1.413	[(None, 0.0), (59, 0.849), (59, 1.413)]	12.3305612911	144.324592866	2166.94496848	158.082126491	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	12	0.7	12	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_12.mp3	56	1.768	[(None, 0.0), (65, 0.811), (50, 1.176), (56, 1.503), (56, 1.768)]	12.6818212349	157.010066828	2179.63044284	170.767601243	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
53	patterned	1	13	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	56	1.171	[(None, 0.0), (56, 0.871), (56, 1.17)]	12.1046359008	169.119369289	2191.7397457	182.8769041	2019_Mar_19_1319	Sound Switch 12-20-2018	318-laptop	bpl	VO
