Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
60	beautiful	1	1	0.8	0	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_00.mp3	41	4.606	[(None, 0.0), (45, 1.821), (44, 3.434), (43, 3.512), (42, 3.574), (41, 3.918), (41, 4.606)]	15.5127898261	15.5131853287	1349.8295862	28.7867739357	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	2	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	26	1.832	[(None, 0.0), (26, 1.155), (26, 1.832)]	12.7594810975	28.2755625639	1362.59196304	41.5491507758	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	3	0.2	6	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_06.mp3	45	2.587	[(None, 0.0), (45, 1.226), (45, 2.587)]	13.516543347	41.7961557624	1376.11255663	55.0697443694	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	4	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	18	1.593	[(None, 0.0), (18, 0.853), (18, 1.593)]	12.5192245463	54.3190662662	1388.63546714	67.5926544781	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	5	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	8	2.996	[(None, 0.0), (8, 1.397), (8, 2.996)]	13.9239619638	68.2477963869	1402.56419765	81.521385389	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	6	0.8	17	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_17.mp3	0	1.966	[(None, 0.0), (0, 1.133), (0, 1.966)]	12.8926730087	81.1452051536	1415.46160602	94.4187937606	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	7	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	0	1.917	[(None, 0.0), (0, 1.334), (0, 1.917)]	12.8586293643	94.0086631262	1428.325064	107.282251733	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	8	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	17	4.249	[(None, 0.0), (12, 1.162), (14, 2.429), (17, 3.637), (17, 4.249)]	15.149784054	109.162247719	1443.4786482	122.435835931	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	9	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	3	2.265	[(None, 0.0), (3, 1.357), (3, 2.265)]	13.1810678727	122.347809149	1456.66421002	135.621397756	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
60	beautiful	1	10	0.8	2	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_02.mp3	14	2.472	[(None, 0.0), (14, 1.156), (14, 2.472)]	13.3914108379	135.744287635	1470.06068811	149.017875847	2019_Mar_21_1339	Sound Switch 12-20-2018	318-laptop	bpl	BO
