Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
66	beautiful	1	1	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	25	4.932	[(None, 0.0), (29, 1.559), (27, 4.23), (26, 4.339), (25, 4.417), (25, 4.932)]	15.8618509223	15.8624692609	3502.81278843	29.349157005	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	2	0.9	0	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_00.mp3	34	3.105	[(None, 0.0), (33, 0.731), (34, 2.184), (34, 3.105)]	14.0294601766	29.896914866	3516.84723364	43.3836022151	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	3	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	37	3.413	[(None, 0.0), (39, 0.634), (38, 0.698), (37, 1.478), (37, 3.413)]	14.3362979341	44.2381034036	3531.18842257	57.7247907527	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	4	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	34	3.303	[(None, 0.0), (34, 1.224), (33, 1.351), (34, 2.116), (34, 3.303)]	14.2271582188	58.4701862048	3545.42050537	71.9568735539	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	5	0.5	7	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_07.mp3	32	2.022	[(None, 0.0), (30, 0.848), (31, 1.194), (32, 1.6), (32, 2.022)]	12.9458651524	71.421033625	3558.3713524	84.9077205789	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	6	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	27	2.928	[(None, 0.0), (25, 0.614), (28, 1.647), (27, 2.177), (27, 2.928)]	13.8514043594	85.2776679826	3572.22798754	98.7643561219	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	7	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	32	3.639	[(None, 0.0), (29, 0.765), (30, 0.924), (31, 1.329), (32, 1.875), (32, 3.639)]	14.5638014742	99.846260494	3586.79657966	113.332947843	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	8	0.5	6	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_06.mp3	33	3.523	[(None, 0.0), (34, 0.929), (33, 1.166), (33, 3.523)]	14.4477343918	114.298884699	3601.24920386	127.785572443	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	9	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	36	1.543	[(None, 0.0), (36, 0.756), (36, 1.542)]	12.467577725	126.771260573	3613.72157974	140.257948317	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	10	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	32	5.442	[(None, 0.0), (38, 0.867), (37, 1.26), (36, 1.431), (35, 1.541), (34, 1.649), (33, 1.806), (32, 1.927), (31, 2.271), (30, 2.379), (33, 3.458), (32, 3.551), (32, 5.442)]	16.3585237474	143.141235634	3630.0915548	156.627923378	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	11	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	23	1.217	[(None, 0.0), (23, 0.606), (23, 1.217)]	12.1537264676	155.299122552	3642.24944132	168.785809901	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	12	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	23	3.085	[(None, 0.0), (20, 0.726), (21, 1.024), (22, 1.836), (23, 2.038), (23, 3.085)]	14.0096105218	169.312667919	3656.26298748	182.799355664	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	13	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	27	3.274	[(None, 0.0), (24, 1.288), (25, 1.557), (26, 1.697), (27, 1.915), (27, 3.274)]	14.1861333335	183.50113553	3670.45145549	196.98782367	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	14	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	33	2.21	[(None, 0.0), (33, 1.441), (33, 2.21)]	13.134108344	196.640081139	3683.5904003	210.126768883	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	15	0.3	11	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_11.mp3	28	2.958	[(None, 0.0), (28, 1.223), (28, 2.958)]	13.8833781909	210.528135786	3697.47845456	224.01482274	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	16	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	32	1.766	[(None, 0.0), (30, 0.467), (31, 0.844), (32, 1.0), (32, 1.766)]	12.6841898145	223.21718025	3710.16749942	236.703867204	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	17	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	33	1.774	[(None, 0.0), (33, 0.68), (33, 1.774)]	12.6996707989	235.921412135	3722.87173802	249.408111732	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	18	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	34	1.951	[(None, 0.0), (35, 0.793), (34, 1.342), (34, 1.951)]	12.8748723812	248.800136785	3735.75045595	262.286824134	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	19	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	29	2.182	[(None, 0.0), (30, 1.305), (29, 1.51), (29, 2.182)]	13.1043308984	261.95684076	3748.90715953	275.4435289	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	20	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	17	1.199	[(None, 0.0), (17, 0.62), (17, 1.199)]	12.1221228491	274.084090485	3761.03440965	287.570777834	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	21	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	16	2.199	[(None, 0.0), (15, 1.04), (16, 1.34), (16, 2.198)]	13.133465509	287.222325301	3774.17264407	300.70901265	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	22	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	20	2.273	[(None, 0.0), (21, 1.209), (20, 1.539), (20, 2.273)]	13.1833964447	300.409585867	3787.35990543	313.896273611	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	23	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	19	1.73	[(None, 0.0), (19, 1.071), (19, 1.73)]	12.6604819643	313.075163099	3800.02548266	326.561851634	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	24	0.5	0	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_00.mp3	21	1.748	[(None, 0.0), (21, 1.135), (21, 1.748)]	12.67239476	325.75134059	3812.70165975	339.238027939	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	25	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	25	2.28	[(None, 0.0), (27, 1.138), (26, 1.468), (25, 1.593), (25, 2.28)]	13.2101793932	338.966368705	3825.91668787	352.453056449	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	26	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	22	2.834	[(None, 0.0), (23, 1.177), (22, 2.179), (22, 2.834)]	13.7445831173	352.714779595	3839.66509837	366.201466944	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	27	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	22	2.215	[(None, 0.0), (23, 1.043), (22, 1.481), (22, 2.215)]	13.1286270593	365.848945624	3852.79926479	379.335633368	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	28	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	23	2.194	[(None, 0.0), (22, 1.068), (23, 1.46), (23, 2.194)]	13.1204472109	378.974540256	3865.92485942	392.461228001	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	29	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	29	2.055	[(None, 0.0), (31, 0.945), (30, 1.181), (29, 1.384), (29, 2.055)]	12.9635006417	391.941976929	3878.89229609	405.428664278	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	30	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	20	1.287	[(None, 0.0), (20, 0.692), (20, 1.287)]	12.2108684555	404.157715838	3891.108035	417.644403187	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	31	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	28	1.808	[(None, 0.0), (33, 0.683), (32, 0.705), (31, 0.73), (30, 1.073), (29, 1.104), (28, 1.306), (28, 1.808)]	12.7313874173	416.89435854	3903.8446785	430.381046679	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	32	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	26	2.403	[(None, 0.0), (24, 1.558), (25, 1.607), (26, 1.95), (26, 2.403)]	13.3141649704	430.241335753	3917.19165571	443.728023893	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	33	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	24	2.679	[(None, 0.0), (24, 2.02), (24, 2.679)]	13.6019997819	443.848280268	3930.79860022	457.334968803	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	34	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	21	2.434	[(None, 0.0), (20, 1.397), (21, 1.477), (21, 2.434)]	13.3565877353	457.209933243	3944.1602528	470.696620987	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	35	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	22	5.068	[(None, 0.0), (36, 3.159), (35, 3.396), (34, 3.474), (33, 3.523), (32, 3.599), (31, 3.678), (30, 3.802), (29, 3.865), (28, 3.912), (27, 3.989), (26, 4.037), (25, 4.099), (24, 4.161), (23, 4.223), (22, 4.302), (22, 5.068)]	15.991647886	473.205646359	3960.15597185	486.692345957	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	36	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	25	3.17	[(None, 0.0), (25, 2.73), (25, 3.17)]	14.0780604004	487.288759356	3974.23908405	500.775458953	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	37	0.4	10	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_10.mp3	31	4.93	[(None, 0.0), (26, 3.928), (27, 4.134), (28, 4.243), (29, 4.415), (30, 4.477), (31, 4.587), (31, 4.93)]	15.844438272	503.138002099	3990.08832087	516.624689448	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	38	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	30	3.215	[(None, 0.0), (30, 2.339), (30, 3.215)]	14.1252354823	517.267083133	4004.2174019	530.753770482	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	39	0.2	19	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_19.mp3	36	2.104	[(None, 0.0), (32, 0.478), (33, 0.527), (34, 0.558), (35, 0.584), (36, 0.651), (37, 0.714), (36, 1.244), (36, 2.104)]	13.0287086879	530.300871284	4017.25119005	543.787558634	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
66	beautiful	1	40	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	27	1.366	[(None, 0.0), (27, 0.926), (27, 1.366)]	12.2904618614	542.59647069	4029.54679104	556.083159619	2019_Mar_25_1448	Sound Switch 12-20-2018	318-laptop	bpl	SK
