Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
67	patterned	1	1	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	60	6.831	[(None, 0.0), (60, 6.096), (60, 6.831)]	17.7162484388	17.716660931	1151.10457586	33.433803498	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	2	0.7	13	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_13.mp3	81	2.82	[(None, 0.0), (75, 1.475), (81, 2.148), (81, 2.819)]	13.7433966677	31.4638648543	1164.85178018	47.1810082115	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	3	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	36	3.738	[(None, 0.0), (36, 1.69), (36, 3.738)]	14.6641092678	46.1309267601	1179.51884169	61.8480693271	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	4	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	64	3.825	[(None, 0.0), (31, 1.567), (64, 3.192), (64, 3.825)]	14.7296082075	60.8644828814	1194.25240018	76.5816297946	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	5	0.5	0	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_00.mp3	56	4.1	[(None, 0.0), (56, 1.368), (56, 4.1)]	15.0224851706	75.890468309	1209.27838363	91.6076112712	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	6	0.3	13	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_13.mp3	54	2.714	[(None, 0.0), (54, 1.744), (54, 2.714)]	13.6407773818	89.5354725505	1222.92338748	105.252614722	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	7	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	75	3.145	[(None, 0.0), (59, 1.099), (65, 1.756), (75, 2.365), (75, 3.144)]	14.069058858	103.608510931	1236.99642586	119.325653498	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	8	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	65	3.45	[(None, 0.0), (65, 1.275), (65, 3.45)]	14.4183484745	118.029232421	1251.41714932	133.746377754	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	9	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	99	1.717	[(None, 0.0), (99, 1.105), (99, 1.717)]	12.6722310968	130.70391595	1264.09183127	146.421058912	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	10	0.8	6	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_06.mp3	99	2.146	[(None, 0.0), (99, 1.489), (99, 2.146)]	13.0828267726	143.790623073	1277.17853839	159.50776643	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	11	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	82	2.818	[(None, 0.0), (82, 1.989), (82, 2.818)]	13.7902734025	157.585180625	1290.97309516	173.302323192	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	12	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	95	2.93	[(None, 0.0), (94, 1.85), (95, 2.335), (95, 2.93)]	13.8419016996	171.458590565	1304.84650549	187.175733132	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	13	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	69	4.337	[(None, 0.0), (69, 3.429), (69, 4.337)]	15.2621925224	186.767080594	1320.15499552	202.484223161	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	14	0.6	12	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_12.mp3	39	2.114	[(None, 0.0), (39, 1.44), (39, 2.114)]	13.021843121	199.809445597	1333.19736092	215.526588559	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	15	0.5	1	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_01.mp3	69	2.304	[(None, 0.0), (74, 1.131), (69, 1.757), (69, 2.304)]	13.2021705624	213.031149482	1346.41906441	228.748292049	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	16	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	64	2.89	[(None, 0.0), (64, 2.232), (64, 2.89)]	13.8074740108	226.843807698	1360.23172263	242.560950265	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	17	0.2	8	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_08.mp3	55	3.209	[(None, 0.0), (55, 2.582), (55, 3.209)]	14.1178151189	241.027981511	1374.41589683	256.745124473	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	18	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	91	2.52	[(None, 0.0), (91, 1.628), (91, 2.52)]	13.4295315962	254.482914566	1387.8708291	270.200056737	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	19	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	59	2.817	[(None, 0.0), (67, 0.709), (64, 1.662), (60, 2.099), (59, 2.208), (59, 2.817)]	13.7190521214	268.245153118	1401.63306805	283.962295685	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	20	0.3	8	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_08.mp3	54	3.28	[(None, 0.0), (54, 2.471), (54, 3.28)]	14.1931949061	282.443868861	1415.83178379	298.161011428	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	21	0.4	12	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_12.mp3	24	1.963	[(None, 0.0), (24, 1.352), (24, 1.963)]	12.8758473573	295.368029959	1428.75594489	311.085172526	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	22	0.6	5	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_05.mp3	30	2.272	[(None, 0.0), (30, 1.786), (30, 2.272)]	13.1965264522	308.568617325	1441.95653225	324.285759497	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	23	0.3	3	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_03.mp3	27	8.677	[(None, 0.0), (41, 3.569), (27, 8.114), (27, 8.677)]	19.5755076044	328.149005297	1461.53692022	343.866147469	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	24	0.7	1	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_01.mp3	18	3.16	[(None, 0.0), (28, 2.019), (18, 2.427), (18, 3.16)]	14.0796283777	342.23251205	1475.62042698	357.949654617	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	25	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	0	2.497	[(None, 0.0), (3, 0.992), (0, 1.435), (0, 2.497)]	13.4017152405	355.63799306	1489.02590799	371.355135231	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	26	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	7	1.792	[(None, 0.0), (14, 0.683), (13, 0.825), (7, 1.028), (7, 1.792)]	12.7171200459	368.359856766	1501.74777209	384.076999728	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
67	patterned	1	27	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	30	4.057	[(None, 0.0), (40, 2.682), (30, 3.51), (30, 4.057)]	14.9777025054	383.34191138	1516.72982591	399.059053552	2019_Mar_26_0843	Sound Switch 12-20-2018	318-laptop	bpl	SES
