Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
83	patterned	1	1	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	95	5.026	[(None, 0.0), (95, 3.554), (95, 5.026)]	15.937294517	15.937844118	936.112216591	26.863290407	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	2	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	76	4.996	[(None, 0.0), (70, 2.385), (76, 3.996), (76, 4.996)]	15.9098887483	31.9068779937	952.081250467	42.8323242828	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	3	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	68	3.305	[(None, 0.0), (68, 1.82), (68, 3.305)]	14.2027253255	46.1143845713	966.288757835	57.0398308604	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	4	0.2	10	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_10.mp3	64	6.901	[(None, 0.0), (64, 5.712), (64, 6.901)]	17.8348502347	63.9538295652	984.128202828	74.8792762494	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	5	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	76	2.951	[(None, 0.0), (76, 1.823), (76, 2.951)]	13.851572171	77.8097934077	997.984165881	88.7352396968	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	6	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	84	2.543	[(None, 0.0), (84, 1.587), (84, 2.543)]	13.4506135499	91.2651814928	1011.43955436	102.190628177	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	7	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	43	8.143	[(None, 0.0), (43, 3.098), (43, 8.143)]	19.0525518911	110.32164697	1030.49601984	121.247093259	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	8	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	58	2.619	[(None, 0.0), (58, 1.648), (58, 2.619)]	13.5265782063	123.8529602	1044.02733307	134.778407279	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	9	0.2	8	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_08.mp3	64	7.648	[(None, 0.0), (64, 4.791), (64, 7.648)]	18.5561404971	142.413503037	1062.5878763	153.338950116	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	10	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	23	3.569	[(None, 0.0), (23, 2.754), (23, 3.569)]	14.4898825608	156.908053847	1077.08242672	167.833500137	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	11	0.5	13	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_13.mp3	35	5.307	[(None, 0.0), (35, 4.336), (35, 5.307)]	16.2041844747	173.116847305	1093.29122017	184.042293594	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	12	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	85	2.509	[(None, 0.0), (85, 1.773), (85, 2.509)]	13.4199263748	186.547706828	1106.7220797	197.473153117	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	13	0.2	17	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_17.mp3	87	7.338	[(None, 0.0), (87, 6.414), (87, 7.338)]	18.24561791	204.797943994	1124.97231647	215.723389888	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	14	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	61	2.482	[(None, 0.0), (61, 1.823), (61, 2.482)]	13.4030570617	218.205097974	1138.37947045	229.130544263	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	15	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	37	7.537	[(None, 0.0), (37, 5.021), (37, 7.537)]	18.460862759	236.670732897	1156.84510577	247.596179582	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	16	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	23	4.352	[(None, 0.0), (23, 1.945), (23, 4.352)]	15.2813976855	251.956862446	1172.13123492	262.88230834	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	17	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	56	2.371	[(None, 0.0), (56, 1.572), (56, 2.371)]	13.2916547968	265.25338542	1185.42775829	276.178832104	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	18	0.1	13	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_13.mp3	100	2.667	[(None, 0.0), (100, 1.604), (100, 2.667)]	13.5929329451	278.850304256	1199.02467673	289.775750545	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	19	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	56	6.285	[(None, 0.0), (60, 4.408), (56, 5.379), (56, 6.285)]	17.2079909851	296.063008929	1216.2373814	306.988455218	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
83	patterned	1	20	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	88	6.605	[(None, 0.0), (88, 4.664), (88, 6.605)]	17.5125015459	313.580239572	1233.75461244	324.505685861	2019_Apr_04_1528	Sound Switch 12-20-2018	318-laptop	bpl	AL
