Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
88	beautiful	1	1	0.8	19	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_19.mp3	44	4.994	[(None, 0.0), (56, 0.823), (58, 2.204), (50, 3.383), (44, 4.054), (44, 4.993)]	15.9146691522	15.9149725971	19673.3192509	28.1590328009	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	2	0.5	9	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_09.mp3	19	4.465	[(None, 0.0), (26, 0.919), (25, 0.971), (12, 2.216), (19, 3.883), (19, 4.465)]	15.4347709959	31.3538116516	19688.75809	43.5978722505	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	3	0.1	0	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_00.mp3	0	1.678	[(None, 0.0), (0, 1.043), (0, 1.678)]	12.6396757406	44.0135029043	19701.4177816	56.2575638983	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	4	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	45	2.917	[(None, 0.0), (42, 0.767), (48, 1.905), (45, 2.501), (45, 2.917)]	13.8647536466	57.8831310301	19715.2874098	70.1271920241	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	5	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	3	1.513	[(None, 0.0), (3, 0.945), (3, 1.513)]	12.4726960805	70.3605996514	19727.7648784	82.6046602503	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	6	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	50	2.475	[(None, 0.0), (47, 0.686), (46, 0.79), (50, 2.027), (50, 2.475)]	13.4330933563	83.7974410268	19741.2017198	96.0415024159	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	7	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	0	1.603	[(None, 0.0), (0, 0.943), (0, 1.603)]	12.5511820326	96.3534619787	19753.7577419	108.597524553	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	8	0.9	15	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_15.mp3	49	2.222	[(None, 0.0), (43, 0.84), (49, 1.706), (49, 2.222)]	13.1785524492	109.535612305	19766.939891	121.779672904	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	9	0.8	4	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_04.mp3	15	1.405	[(None, 0.0), (15, 0.639), (15, 1.405)]	12.3740634397	121.914540346	19779.3188187	134.15860055	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
88	beautiful	1	10	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	35	2.047	[(None, 0.0), (35, 1.417), (35, 2.047)]	13.0071748131	134.926493232	19792.3307724	147.170555411	2019_Apr_05_1031	Sound Switch 12-20-2018	318-laptop	bpl	BL
