Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
90	beautiful	1	1	0.1	2	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_02.mp3	70	4.195	[(None, 0.0), (62, 1.855), (80, 2.227), (70, 3.63), (70, 4.195)]	15.1266289916	15.1270604523	2876.94932549	31.710706351	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	2	0.5	16	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_16.mp3	27	2.018	[(None, 0.0), (27, 1.073), (27, 2.018)]	12.9955652788	28.1270596621	2889.9493247	44.7107055608	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	3	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	16	1.987	[(None, 0.0), (16, 1.333), (16, 1.987)]	12.9441989271	41.075916943	2902.89818198	57.6595620515	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	4	0.9	4	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_04.mp3	68	1.274	[(None, 0.0), (68, 0.772), (68, 1.274)]	12.2244461241	53.3036772547	2915.12594189	69.8873227583	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	5	0.3	12	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_12.mp3	11	4.043	[(None, 0.0), (10, 3.154), (11, 3.31), (11, 4.043)]	15.0026630453	68.3100397205	2930.13230476	84.8936856192	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	6	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	55	2.393	[(None, 0.0), (60, 1.142), (55, 1.876), (55, 2.393)]	13.3619367057	81.6767066901	2943.49897172	98.2603521937	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	7	0.4	5	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_05.mp3	48	3.981	[(None, 0.0), (54, 3.096), (48, 3.483), (48, 3.981)]	14.9404315477	96.6208704523	2958.44313549	113.204516351	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	8	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	19	2.572	[(None, 0.0), (19, 1.201), (19, 2.572)]	13.5216238097	110.146294041	2971.96855987	126.729940729	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	9	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	42	3.635	[(None, 0.0), (36, 2.123), (37, 2.25), (42, 2.745), (42, 3.635)]	14.5942218238	124.745386788	2986.56765143	141.329031896	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	10	0.9	14	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_14.mp3	42	2.655	[(None, 0.0), (26, 1.04), (42, 1.873), (42, 2.655)]	13.6150287423	138.364760956	3000.18702639	154.94840725	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	11	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	36	2.327	[(None, 0.0), (35, 1.266), (36, 1.406), (36, 2.327)]	13.2844432714	151.653987436	3013.47625247	168.23763294	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	12	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	12	1.802	[(None, 0.0), (12, 1.061), (12, 1.802)]	12.757261046	164.415929752	3026.23819479	180.999575651	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	13	0.9	11	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_11.mp3	23	4.67	[(None, 0.0), (18, 3.049), (23, 4.155), (23, 4.67)]	15.6188237795	180.039469967	3041.86173579	196.623116261	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	14	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	27	3.903	[(None, 0.0), (15, 2.058), (27, 2.734), (27, 3.903)]	14.8601261114	194.904364668	3056.7266297	211.488010172	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	15	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	12	3.187	[(None, 0.0), (12, 2.214), (12, 3.187)]	14.1493099196	209.057716569	3070.87998121	225.641362073	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	16	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	38	16.817	[(None, 0.0), (38, 16.285), (38, 16.817)]	27.7726446767	236.835331737	3098.65759677	253.418977636	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	17	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	46	5.537	[(None, 0.0), (46, 4.124), (46, 5.536)]	16.5027474015	253.343043308	3115.16530874	269.926690392	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	18	0.2	1	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_01.mp3	27	2.635	[(None, 0.0), (27, 1.888), (27, 2.635)]	13.5828746429	266.929770674	3128.75203571	283.513416177	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	19	0.4	16	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_16.mp3	24	5.58	[(None, 0.0), (24, 4.92), (24, 5.58)]	16.5509169134	283.485413505	3145.30767854	300.069059009	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	20	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	40	2.537	[(None, 0.0), (40, 1.716), (40, 2.537)]	13.4984703294	296.987675316	3158.80994075	313.571321609	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	21	0.5	2	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_02.mp3	39	8.569	[(None, 0.0), (39, 8.067), (39, 8.569)]	19.5155355507	316.50799447	3178.3302595	333.091641159	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	22	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	23	3.7	[(None, 0.0), (15, 2.469), (23, 2.935), (23, 3.7)]	14.6497056229	331.161616034	3192.98388107	347.745261933	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	23	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	37	2.843	[(None, 0.0), (37, 1.954), (37, 2.843)]	13.8033510909	344.998848253	3206.82111329	361.582493756	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	24	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	39	4.128	[(None, 0.0), (27, 1.625), (42, 3.097), (38, 3.704), (39, 3.738), (39, 4.128)]	15.0876177479	360.091196264	3221.91346169	376.674842558	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	25	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	28	1.941	[(None, 0.0), (28, 1.406), (28, 1.941)]	12.9076460615	373.003525177	3234.82579021	389.58717068	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	26	0.8	18	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_18.mp3	43	5.475	[(None, 0.0), (43, 4.783), (43, 5.475)]	16.4319744032	389.440154773	3251.26241981	406.023800671	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	27	0.8	15	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_15.mp3	40	4.629	[(None, 0.0), (40, 4.072), (40, 4.629)]	15.5942364429	405.038283055	3266.86054809	421.621928954	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	28	0.1	12	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_12.mp3	50	5.569	[(None, 0.0), (21, 3.49), (39, 4.447), (50, 4.862), (50, 5.569)]	16.5271897325	421.570402977	3283.39266841	438.154049271	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	29	0.6	11	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_11.mp3	46	4.341	[(None, 0.0), (46, 3.698), (46, 4.341)]	15.3104383871	436.88489757	3298.7071626	453.468543468	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	30	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	8	3.542	[(None, 0.0), (8, 2.155), (8, 3.542)]	14.4980791699	451.387391705	3313.20965674	467.971037604	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	31	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	28	7.853	[(None, 0.0), (47, 4.747), (28, 7.106), (28, 7.853)]	18.8112371031	470.202462961	3332.02472839	486.78610886	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	32	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	54	6.473	[(None, 0.0), (23, 4.942), (41, 5.293), (42, 5.402), (61, 5.619), (54, 6.009), (54, 6.473)]	17.4208235922	487.628453415	3349.45071805	504.212098918	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	33	0.7	15	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_15.mp3	31	3.571	[(None, 0.0), (37, 2.113), (30, 3.072), (31, 3.13), (31, 3.571)]	14.5385578543	502.171740348	3363.99400538	518.755385851	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	34	0.7	9	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_09.mp3	59	1.682	[(None, 0.0), (26, 0.774), (59, 1.209), (59, 1.682)]	12.6393391064	514.81542567	3376.6376911	531.399071964	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	35	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	41	1.741	[(None, 0.0), (41, 0.944), (41, 1.741)]	12.6977739865	527.517987212	3389.34025225	544.101633111	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	36	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	58	4.168	[(None, 0.0), (58, 3.635), (58, 4.168)]	15.1281940246	542.650455938	3404.47272097	559.234101837	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	37	0.6	3	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_03.mp3	70	7.322	[(None, 0.0), (49, 4.314), (56, 4.672), (63, 5.893), (70, 6.483), (70, 7.322)]	18.2808078589	560.935206605	3422.75747164	577.518852899	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
90	beautiful	1	38	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	59	6.601	[(None, 0.0), (59, 6.104), (59, 6.601)]	17.5665747508	578.50651004	3440.32877507	595.090155543	2019_Apr_05_1653	Sound Switch 12-20-2018	318-laptop	bpl	AK
