Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
92	beautiful	1	1	0.2	7	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_07.mp3	72	3.027	[(None, 0.0), (72, 2.302), (72, 3.027)]	13.9490218483	13.9493553204	1860.37653297	26.6890112673	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	2	0.7	11	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_11.mp3	37	2.545	[(None, 0.0), (37, 1.845), (37, 2.545)]	13.5048620141	27.4993308829	1873.92650893	40.2389868298	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	3	0.4	18	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_18.mp3	27	3.46	[(None, 0.0), (25, 1.655), (27, 2.929), (27, 3.46)]	14.409157916	41.9146643529	1888.3418424	54.6543202999	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	4	0.7	5	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_05.mp3	64	3.027	[(None, 0.0), (62, 1.593), (64, 2.495), (64, 3.027)]	13.9757762608	55.8943782703	1902.32155632	68.6340346123	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	5	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	69	2.525	[(None, 0.0), (72, 0.855), (69, 1.868), (69, 2.525)]	13.4744520529	69.3728505575	1915.8000294	82.1125076898	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	6	0.4	10	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_10.mp3	28	4.756	[(None, 0.0), (23, 1.484), (24, 2.913), (28, 4.166), (28, 4.756)]	15.7082890317	85.0858599568	1931.51303801	97.8255159037	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	7	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	21	2.093	[(None, 0.0), (21, 1.476), (21, 2.093)]	13.0550789882	98.1578045688	1944.58498301	110.897461306	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	8	0.6	4	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_04.mp3	72	2.8	[(None, 0.0), (71, 1.634), (72, 2.194), (72, 2.8)]	13.7614663602	111.924180554	1958.35135979	124.663839266	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	9	0.9	16	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_16.mp3	31	5.145	[(None, 0.0), (25, 1.247), (27, 2.242), (31, 3.602), (31, 5.145)]	16.0742394053	128.001192044	1974.42837009	140.740847991	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	10	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	22	1.619	[(None, 0.0), (22, 1.006), (22, 1.619)]	12.5675326271	140.606229605	1987.03340765	153.345885947	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	11	0.1	9	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_09.mp3	60	3.452	[(None, 0.0), (60, 2.795), (60, 3.452)]	14.4087995521	155.019708038	2001.44688648	167.75936438	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	12	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	1	3.243	[(None, 0.0), (1, 2.354), (1, 3.243)]	14.2098131648	169.23433205	2015.6615101	181.973988392	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	13	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	71	1.694	[(None, 0.0), (71, 1.069), (71, 1.694)]	12.6530350102	181.892086638	2028.31926469	194.631742585	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	14	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	63	3.008	[(None, 0.0), (63, 2.383), (63, 3.008)]	13.9578244823	195.85409651	2042.28127416	208.593752062	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	15	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	64	2.412	[(None, 0.0), (64, 1.838), (64, 2.412)]	13.3711022001	209.229398324	2055.65657637	221.969054666	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	16	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	17	2.796	[(None, 0.0), (17, 2.173), (17, 2.796)]	13.7437081851	222.978014158	2069.40519181	235.71766971	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	17	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	66	4.479	[(None, 0.0), (66, 3.948), (66, 4.479)]	15.4392727307	238.422001725	2084.84917977	251.161657672	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	18	0.4	4	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_04.mp3	64	2.647	[(None, 0.0), (64, 2.18), (64, 2.647)]	13.6022002831	252.029336845	2098.45651489	264.768992792	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	19	0.4	3	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_03.mp3	66	2.904	[(None, 0.0), (66, 2.336), (66, 2.904)]	13.8529917853	265.947207903	2112.37438556	278.686863455	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	20	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	15	3.045	[(None, 0.0), (15, 2.207), (15, 3.045)]	13.994270524	279.944830532	2126.37200858	292.684486479	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	21	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	77	2.771	[(None, 0.0), (77, 2.179), (77, 2.771)]	13.7192774088	293.66785476	2140.09503281	306.407510706	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	22	0.3	7	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_07.mp3	71	5.243	[(None, 0.0), (71, 4.657), (71, 5.243)]	16.2007177551	309.872563906	2156.29974235	322.612220643	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	23	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	1	3.826	[(None, 0.0), (1, 2.952), (1, 3.826)]	14.7919359829	324.668341139	2171.09551879	337.407997086	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	24	0.2	18	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_18.mp3	31	4.709	[(None, 0.0), (31, 3.774), (31, 4.709)]	15.6651925149	340.338256787	2186.76543484	353.077913129	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	25	0.3	4	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_04.mp3	71	3.198	[(None, 0.0), (71, 2.638), (71, 3.198)]	14.1459643367	354.488538085	2200.91571574	367.228194032	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	26	0.6	16	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_16.mp3	19	1.574	[(None, 0.0), (19, 1.012), (19, 1.574)]	12.5288743699	367.022140329	2213.44931838	379.761796276	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	27	0.8	10	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_10.mp3	1	4.185	[(None, 0.0), (1, 3.402), (1, 4.185)]	15.1345057799	382.165933147	2228.5931112	394.905589094	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	28	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	66	3.353	[(None, 0.0), (66, 1.627), (66, 3.353)]	14.3006633485	396.471388378	2242.89856643	409.21104472	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	29	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	7	3.733	[(None, 0.0), (7, 2.932), (7, 3.732)]	14.6893064138	411.165541594	2257.59271964	423.905197541	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	30	0.3	0	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_00.mp3	68	2.638	[(None, 0.0), (68, 2.139), (68, 2.638)]	13.5955889238	424.76610494	2271.19328299	437.505760887	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	31	0.3	10	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_10.mp3	13	2.279	[(None, 0.0), (10, 1.058), (13, 1.656), (13, 2.279)]	13.2407217536	438.011558915	2284.43873657	450.751214466	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	32	0.1	7	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_07.mp3	64	5.034	[(None, 0.0), (57, 2.463), (60, 3.739), (64, 4.413), (64, 5.034)]	15.9851877578	454.001821453	2300.4289995	466.741477795	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	33	0.3	16	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_16.mp3	16	3.823	[(None, 0.0), (16, 2.958), (16, 3.823)]	14.7912125382	468.796839286	2315.22401733	481.536495628	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
92	beautiful	1	34	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	77	3.385	[(None, 0.0), (77, 2.8), (77, 3.385)]	14.3530054165	483.154744845	2329.5819225	495.894400791	2019_Apr_08_0853	Sound Switch 12-20-2018	318-laptop	bpl	CWY
