Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
96	beautiful	1	1	0.9	2	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_02.mp3	62	10.84	[(None, 0.0), (50, 1.655), (57, 2.575), (60, 3.509), (62, 8.405), (62, 10.84)]	21.8265735056	21.8272953669	15633.2954669	28.8463458684	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	2	0.1	17	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_17.mp3	36	2.83	[(None, 0.0), (36, 2.156), (36, 2.83)]	13.7777105656	35.6100423674	15647.0782139	42.6290924737	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	3	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	46	1.985	[(None, 0.0), (46, 1.282), (46, 1.985)]	12.9337045236	48.5475276743	15660.0156992	55.5665785709	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	4	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	49	2.737	[(None, 0.0), (49, 1.64), (49, 2.737)]	13.7049977538	62.2562663056	15673.7244374	69.2753164119	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	5	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	43	3.01	[(None, 0.0), (43, 2.302), (43, 3.01)]	13.9893617316	76.2504775861	15687.7186487	83.2695284827	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	6	0.1	1	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_01.mp3	44	3.214	[(None, 0.0), (41, 1.248), (44, 2.534), (44, 3.214)]	14.1667302131	90.4224402074	15701.8906113	97.4414903137	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	7	0.5	5	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_05.mp3	49	2.504	[(None, 0.0), (49, 1.957), (49, 2.504)]	13.4618679812	103.889032488	15715.357204	110.90808299	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	8	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	49	1.801	[(None, 0.0), (49, 1.32), (49, 1.801)]	12.7477128217	116.641419036	15728.109591	123.660469933	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	9	0.8	16	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_16.mp3	50	3.094	[(None, 0.0), (50, 2.362), (50, 3.094)]	14.0424151813	130.688232554	15742.1564033	137.707282265	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
96	beautiful	1	10	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	41	1.687	[(None, 0.0), (41, 1.279), (41, 1.687)]	12.6479932294	143.339859587	15754.8080307	150.358909693	2019_Apr_15_0928	Sound Switch 12-20-2018	318-laptop	bpl	FS
