Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
20	beautiful	1	1	0.5	3	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_03.mp3	63	3.293	[(None, 0.0), (63, 2.198), (63, 3.293)]	14.2304967271	14.2312616582	1433.11049856	25.78250315	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	2	0.2	16	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_16.mp3	26	6.279	[(None, 0.0), (30, 1.828), (26, 5.576), (26, 6.279)]	17.2069253129	31.4426062656	1450.32184277	42.9938473623	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	3	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	28	7.84	[(None, 0.0), (28, 6.681), (28, 7.84)]	18.7575484591	50.205860099	1469.085097	61.7571015908	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	4	0.2	13	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_13.mp3	42	7.788	[(None, 0.0), (46, 2.864), (44, 3.728), (42, 4.274), (42, 7.788)]	18.6963504175	68.9068245996	1487.7860615	80.4580660915	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	5	0.5	0	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_00.mp3	51	3.668	[(None, 0.0), (51, 2.477), (51, 3.668)]	14.5844982135	83.4970823174	1502.37631922	95.0483238092	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	6	0.6	10	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_10.mp3	21	11.132	[(None, 0.0), (21, 10.52), (21, 11.132)]	22.0558620943	105.558364517	1524.43760102	117.109605614	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	7	0.4	1	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_01.mp3	46	6.583	[(None, 0.0), (46, 5.148), (46, 6.583)]	17.4888529867	123.052749425	1541.93198593	134.603990522	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	8	0.6	19	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_19.mp3	39	2.602	[(None, 0.0), (39, 1.754), (39, 2.602)]	13.5189081399	136.575991516	1555.45522842	148.127232613	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	9	0.7	0	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_00.mp3	50	5.187	[(None, 0.0), (44, 0.833), (46, 1.634), (48, 2.245), (50, 3.886), (50, 5.187)]	16.104220278	152.685208738	1571.56444525	164.236449835	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	10	0.9	7	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_07.mp3	48	5.603	[(None, 0.0), (48, 4.723), (48, 5.602)]	16.5125259438	169.203369727	1588.08260623	180.754610824	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	11	0.8	17	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_17.mp3	9	3.587	[(None, 0.0), (9, 2.021), (9, 3.587)]	14.5075048984	183.716357948	1602.59559446	195.267599045	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	12	0.4	14	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_14.mp3	11	2.831	[(None, 0.0), (11, 2.08), (11, 2.831)]	13.7423924721	197.463995493	1616.343232	209.015236194	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	13	0.6	8	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_08.mp3	19	1.809	[(None, 0.0), (19, 1.338), (19, 1.809)]	12.7323725072	210.201146053	1629.08038256	221.75238715	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	14	0.1	12	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_12.mp3	16	2.664	[(None, 0.0), (16, 2.143), (16, 2.664)]	13.5779540227	223.809655832	1642.68889234	235.360896929	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	15	0.8	5	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_05.mp3	19	3.715	[(None, 0.0), (12, 1.759), (14, 2.308), (17, 2.904), (19, 3.247), (19, 3.715)]	14.6362262821	238.451497009	1657.33073391	250.002738501	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	16	0.6	13	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_13.mp3	29	2.946	[(None, 0.0), (17, 1.539), (20, 2.134), (28, 2.415), (29, 2.43), (29, 2.946)]	13.8711995945	252.327476632	1671.20671314	263.878718519	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	17	0.4	9	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_09.mp3	28	2.112	[(None, 0.0), (28, 1.36), (28, 2.112)]	13.0346032533	265.366522491	1684.2457586	276.917763193	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	18	0.9	3	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_03.mp3	17	1.282	[(None, 0.0), (17, 0.827), (17, 1.282)]	12.2068431303	277.578765182	1696.45800169	289.130007464	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	19	0.2	0	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_00.mp3	10	1.818	[(None, 0.0), (10, 1.332), (10, 1.818)]	12.7402881214	290.324591546	1709.20382805	301.875832643	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	20	0.1	4	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_04.mp3	0	2.504	[(None, 0.0), (0, 1.232), (0, 2.504)]	13.4199771864	303.748881743	1722.62811785	315.300122444	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	21	0.9	16	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_16.mp3	57	1.833	[(None, 0.0), (54, 0.865), (57, 1.355), (57, 1.833)]	12.7391731237	316.493652771	1735.37288928	328.044893868	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	22	0.8	7	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_07.mp3	27	2.697	[(None, 0.0), (27, 2.257), (27, 2.697)]	13.6234089454	330.121458885	1749.00069579	341.672700377	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	23	0.5	14	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_14.mp3	11	2.775	[(None, 0.0), (11, 0.944), (11, 2.775)]	13.6935735912	343.827265842	1762.70650274	355.378506938	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	24	0.8	9	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_09.mp3	6	1.946	[(None, 0.0), (6, 1.051), (6, 1.946)]	12.8665756335	356.698923763	1775.57816066	368.250165254	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	25	0.4	7	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_07.mp3	24	2.843	[(None, 0.0), (24, 1.62), (24, 2.843)]	13.753463822	370.457742892	1789.3369794	382.008983594	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	26	0.3	9	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_09.mp3	30	2.694	[(None, 0.0), (35, 0.972), (36, 0.997), (34, 1.789), (31, 2.132), (30, 2.194), (30, 2.694)]	13.6127413968	384.075285654	1802.95452256	395.626527936	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	27	0.3	6	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_06.mp3	12	1.426	[(None, 0.0), (12, 0.971), (12, 1.426)]	12.340268682	396.421326089	1815.3005626	407.97256758	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	28	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	8	2.12	[(None, 0.0), (6, 1.259), (8, 1.714), (8, 2.12)]	13.0405650533	409.466197435	1828.34543473	421.017439717	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	29	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	17	2.614	[(None, 0.0), (17, 2.031), (17, 2.614)]	13.5379365905	423.009614583	1841.88885109	434.56085647	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	30	0.4	0	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_00.mp3	14	1.603	[(None, 0.0), (14, 1.178), (14, 1.603)]	12.5307657568	435.545131921	1854.42436843	447.096373808	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	31	0.4	8	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_08.mp3	27	1.832	[(None, 0.0), (27, 1.299), (27, 1.832)]	12.7556037325	448.305657922	1867.18489482	459.856899809	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	32	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	23	2.878	[(None, 0.0), (23, 2.042), (23, 2.878)]	13.8060714033	462.11607671	1880.99531282	473.667317411	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	33	0.3	18	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_18.mp3	11	1.546	[(None, 0.0), (11, 1.011), (11, 1.546)]	12.454487589	474.583947036	1893.46318394	486.135188528	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	34	0.5	11	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_11.mp3	29	2.066	[(None, 0.0), (29, 1.545), (29, 2.066)]	12.982430687	487.572270775	1906.45150728	499.123511476	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	35	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	20	0.717	[(None, 0.0), (20, 0.293), (20, 0.717)]	11.6394653859	499.216901421	1918.09613793	510.768142517	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	36	0.7	4	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_04.mp3	18	2.175	[(None, 0.0), (19, 1.388), (18, 1.489), (18, 2.175)]	13.100128529	512.322380121	1931.20161663	523.873621218	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	37	0.1	17	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_17.mp3	0	2.285	[(None, 0.0), (0, 1.393), (0, 2.284)]	13.2009508694	525.52760765	1944.40684416	537.078849142	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	38	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	13	2.217	[(None, 0.0), (13, 1.48), (13, 2.217)]	13.1384323733	538.670749328	1957.54998584	550.221990425	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	39	0.7	8	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_08.mp3	12	1.669	[(None, 0.0), (12, 0.928), (12, 1.669)]	12.5908677661	551.267049053	1970.14628556	562.818290545	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	40	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	29	2.537	[(None, 0.0), (29, 1.11), (29, 2.537)]	13.4588381345	564.731252768	1983.61048928	576.28249347	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	41	0.7	9	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_09.mp3	28	2.467	[(None, 0.0), (28, 1.79), (28, 2.467)]	13.387239638	578.124144046	1997.00338055	589.675385142	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	42	0.7	15	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_15.mp3	8	2.003	[(None, 0.0), (8, 1.232), (8, 2.003)]	12.9116927379	591.047697957	2009.92693446	602.598939053	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	43	0.2	9	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_09.mp3	11	1.961	[(None, 0.0), (11, 1.518), (11, 1.961)]	12.8801586916	603.933476679	2022.81271319	615.484718171	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	44	0.1	8	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_08.mp3	5	1.653	[(None, 0.0), (5, 1.152), (5, 1.653)]	12.5763321002	616.516238783	2035.3954749	628.067479485	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	45	0.3	3	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_03.mp3	13	2.433	[(None, 0.0), (13, 1.14), (13, 2.433)]	13.3411134251	629.861691691	2048.74092859	641.412933183	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	46	0.6	0	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_00.mp3	16	2.113	[(None, 0.0), (16, 1.561), (16, 2.113)]	13.0201600429	642.887207832	2061.76644434	654.438449324	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	47	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	10	2.403	[(None, 0.0), (10, 1.23), (10, 2.403)]	13.4077153729	656.300740395	2075.1799773	667.851981492	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	48	0.9	6	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_06.mp3	26	1.923	[(None, 0.0), (26, 1.405), (26, 1.923)]	12.8435482845	669.148559018	2088.02779671	680.6998013	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	49	0.7	13	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_13.mp3	10	2.296	[(None, 0.0), (10, 1.479), (10, 2.296)]	13.221646285	682.375813085	2101.25504999	693.927054182	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	50	0.7	7	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_07.mp3	12	2.117	[(None, 0.0), (12, 1.428), (12, 2.117)]	13.0248760642	695.40498833	2114.28422484	706.956229427	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	51	0.7	18	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_18.mp3	13	2.519	[(None, 0.0), (13, 1.106), (13, 2.519)]	13.4464656905	708.856713317	2127.73594982	720.407954809	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	52	0.1	18	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_18.mp3	30	2.463	[(None, 0.0), (30, 1.945), (30, 2.463)]	13.3862534458	722.248565063	2141.12780157	733.799806555	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	53	0.4	11	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_11.mp3	10	1.433	[(None, 0.0), (11, 0.954), (10, 1.05), (10, 1.433)]	12.3483119164	734.601342106	2153.48057861	746.152583203	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	54	0.2	3	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_03.mp3	3	2.339	[(None, 0.0), (3, 1.397), (3, 2.339)]	13.2529784306	747.860611463	2166.73984797	759.411852955	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	55	0.3	14	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_14.mp3	8	1.726	[(None, 0.0), (8, 1.036), (8, 1.726)]	12.6489440514	760.515119835	2179.39435674	772.066361326	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	56	0.9	19	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_19.mp3	45	1.17	[(None, 0.0), (45, 0.758), (45, 1.17)]	12.0835043168	772.602962053	2191.48219935	784.15420394	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	57	0.5	6	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_06.mp3	26	1.466	[(None, 0.0), (26, 1.042), (26, 1.466)]	12.3764282697	784.984727456	2203.86396396	796.535968157	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	58	0.3	1	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_01.mp3	13	1.342	[(None, 0.0), (13, 0.824), (13, 1.341)]	12.2594171273	797.249446946	2216.12868306	808.800687648	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	59	0.6	18	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_18.mp3	12	1.724	[(None, 0.0), (12, 1.188), (12, 1.724)]	12.6477851966	809.902551891	2228.78178879	821.453792987	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	60	0.6	14	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_14.mp3	14	1.716	[(None, 0.0), (14, 1.074), (14, 1.716)]	12.6390339268	822.546910702	2241.42614721	834.098151403	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	61	0.6	6	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_06.mp3	24	3.159	[(None, 0.0), (17, 1.302), (18, 2.454), (19, 2.516), (23, 2.703), (24, 2.745), (24, 3.159)]	14.0815121771	836.632814121	2255.51205063	848.184055217	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	62	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	12	2.901	[(None, 0.0), (17, 1.038), (16, 1.088), (12, 2.448), (12, 2.901)]	13.8228777608	850.461237236	2269.34047374	862.012479123	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	63	0.6	3	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_03.mp3	11	1.728	[(None, 0.0), (11, 1.164), (11, 1.728)]	12.6435207849	863.1092998	2281.98853631	874.660540896	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	64	0.6	1	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_01.mp3	15	4.168	[(None, 0.0), (15, 3.572), (15, 4.168)]	15.092543621	878.206598953	2297.08583586	889.75784084	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	65	0.2	2	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_02.mp3	16	2.102	[(None, 0.0), (22, 0.895), (21, 0.919), (16, 1.65), (16, 2.102)]	13.0245504943	891.235721649	2310.11495855	902.786962746	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	66	0.2	14	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_14.mp3	20	3.362	[(None, 0.0), (24, 1.602), (22, 2.228), (21, 2.566), (20, 2.612), (20, 3.362)]	14.282381654	905.523841076	2324.40307758	917.075082173	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	67	0.5	12	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_12.mp3	17	2.188	[(None, 0.0), (12, 1.104), (17, 1.469), (17, 2.188)]	13.0969131317	918.626220146	2337.50545665	930.177461243	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	68	0.1	14	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_14.mp3	4	2.891	[(None, 0.0), (10, 0.495), (7, 0.935), (4, 2.298), (4, 2.891)]	13.804305266	932.435905217	2351.31514172	943.987146313	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	69	0.3	17	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_17.mp3	15	2.749	[(None, 0.0), (18, 1.055), (15, 2.168), (15, 2.749)]	13.671027485	946.111355552	2364.99059206	957.662596253	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	70	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	10	1.868	[(None, 0.0), (10, 1.257), (10, 1.868)]	12.7890425995	958.906522341	2377.78575924	970.457763438	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	71	0.1	11	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_11.mp3	5	1.591	[(None, 0.0), (5, 0.963), (5, 1.591)]	12.4982143048	971.410255529	2390.28949204	982.961496626	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	72	0.9	8	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_08.mp3	11	2.121	[(None, 0.0), (11, 1.541), (11, 2.121)]	13.0459729105	984.461825159	2403.34106206	996.013067046	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	73	0.1	16	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_16.mp3	11	2.362	[(None, 0.0), (11, 1.688), (11, 2.362)]	13.2862134213	997.752482766	2416.63172006	1009.30372465	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	74	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	12	2.105	[(None, 0.0), (12, 1.115), (12, 2.105)]	13.0277003035	1010.78556485	2429.66480136	1022.33680674	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	75	0.8	14	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_14.mp3	12	2.146	[(None, 0.0), (12, 1.597), (12, 2.146)]	13.0685518108	1023.85943996	2442.73867647	1035.41068106	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	76	0.8	6	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_06.mp3	16	2.89	[(None, 0.0), (14, 1.777), (16, 2.356), (16, 2.889)]	13.8092409679	1037.67447718	2456.55371369	1049.22571828	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	77	0.2	5	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_05.mp3	15	1.929	[(None, 0.0), (15, 1.006), (15, 1.929)]	12.8532655958	1050.53209174	2469.41132825	1062.08333284	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	78	0.5	18	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_18.mp3	14	2.41	[(None, 0.0), (19, 1.243), (14, 1.839), (14, 2.41)]	13.3197795134	1063.85624235	2482.73548043	1075.40748502	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	79	0.1	15	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_15.mp3	7	6.496	[(None, 0.0), (9, 1.012), (8, 4.04), (6, 4.321), (5, 4.368), (4, 4.586), (7, 5.323), (7, 6.496)]	17.4190542117	1081.28012361	2500.15936011	1092.8313647	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
20	beautiful	1	80	0.4	17	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_17.mp3	10	1.809	[(None, 0.0), (10, 1.337), (10, 1.809)]	12.7613181943	1094.04712149	2512.926358	1105.59836259	2019_Feb_21_1342	Sound Switch 12-20-2018	318-laptop	bpl	JM
